"",,0,                 
"WI",1850,3,264594.98  
"WI",1851,3,264594.98  
"WI",1852,3,192881.78  
"WI",1853,3,228501.04  
"WI",1855,3,156509.67  
"WI",1856,3,276021     
"WI",1850,31,50563.46  
"WI",1850,32,171667.09 
"WI",1850,39,6458.55   
"WI",1850,40,565.94    
"WI",1850,42,35339.94  
"WI",1851,31,50563.46  
"WI",1851,32,171667.09 
"WI",1851,39,6458.55   
"WI",1851,40,565.94    
"WI",1851,42,35339.94  
"WI",1852,31,59391.6   
"WI",1852,32,9000      
"WI",1852,33,10262.9   
"WI",1852,34,4340.01   
"WI",1852,35,356.25    
"WI",1852,36,109181.02 
"WI",1852,39,350       
"WI",1853,29,270       
"WI",1853,31,59985.87  
"WI",1853,32,3750      
"WI",1853,33,111.12    
"WI",1853,34,13541.94  
"WI",1853,35,2375.25   
"WI",1853,36,131199.24 
"WI",1853,39,10530.61  
"WI",1853,40,312.01    
"WI",1853,41,160       
"WI",1853,42,6265      
"WI",1855,31,156509.29 
"WI",1855,33,.38       
"WI",1856,31,162310.55 
"WI",1856,42,113138.35 
"WI",1856,95,572.1     
"WI",1850,311,49373.46 
"WI",1850,313,1190     
"WI",1850,322,171667.09
"WI",1850,392,144.5    
"WI",1850,398,6314.05  
"WI",1850,400,565.94   
"WI",1850,422,35339.94 
"WI",1851,311,49373.46 
"WI",1851,313,1190     
"WI",1851,322,171667.09
"WI",1851,392,144.5    
"WI",1851,398,6314.05  
"WI",1851,400,565.94   
"WI",1851,422,35339.94 
"WI",1852,311,58826.94 
"WI",1852,313,564.66   
"WI",1852,322,7500     
"WI",1852,326,1500     
"WI",1852,334,10262.9  
"WI",1852,343,4340.01  
"WI",1852,356,356.25   
"WI",1852,360,13462    
"WI",1852,361,45406.88 
"WI",1852,362,33600.22 
"WI",1852,363,1588     
"WI",1852,369,15123.92 
"WI",1852,398,350      
"WI",1853,298,270      
"WI",1853,311,56711.91 
"WI",1853,313,3273.96  
"WI",1853,322,3750     
"WI",1853,334,111.12   
"WI",1853,343,13541.94 
"WI",1853,351,2375.25  
"WI",1853,360,23253.27 
"WI",1853,361,61549.9  
"WI",1853,362,20559.56 
"WI",1853,363,1190     
"WI",1853,369,24646.51 
"WI",1853,398,10237.97 
"WI",1853,399,292.64   
"WI",1853,400,312.01   
"WI",1853,412,160      
"WI",1853,422,6265     
"WI",1855,311,140064.57
"WI",1855,313,16444.72 
"WI",1855,334,.38      
"WI",1856,311,162310.55
"WI",1856,422,113138.35
"WI",1856,952,572.1    
