state,county,name,totpop,urb790,urb25,wm16,wm015,wftot,ofptot,stot,efem16,efem015,families,fam1,fam2,fam3,fam4,fam5,fam6,fam7,fam8,fam9,fam10,fam11,nattot,english,scots,irish,dutch,french,german,jewish,othnat,sfam,swfam,swfamtot,swfamsiz,sfcfam,nsfam,nswfam,nswfamto,nswfasiz,nsfcfam,pctswfam,pctsfcfa,pctnswfa,pctnsfcf,stot2,avslfam,slh1,slh24,slh59,slh1019,slh2049,slh5099,slh100,slh200,slh300,slhunk,region1,region2,fips,wmtot,whtot,level,statefip,nwtot
1,10,"FAIRFIELD",36290,0,0,9149,8394,17630,318,799,9929,7701,6412,116,543,783,998,992,910,733,553,372,202,210,35173,34116,676,162,41,173,0,5,0,470,470,2798,6,0,5942,5899,32376,5.5,43,7.3,0,92,.7,799,1.7,299,150,20,1,0,0,0,0,0,0,1,1,9001,17543,35173,1,9,1117
1,30,"HARTFORD",38149,2683,0,9808,8844,18846,395,256,10614,8232,6582,102,537,763,920,944,948,756,649,441,257,265,37498,36239,956,234,21,42,0,0,6,157,157,1020,6.5,0,6425,6372,36494,5.7,53,2.4,0,96.8,.8,256,1.6,101,44,10,2,0,0,0,0,0,0,1,1,9003,18652,37498,1,9,651
1,50,"LITCHFIELD",38635,0,0,10135,9237,18747,313,203,10558,8189,6563,199,431,664,847,957,974,796,657,467,284,287,38119,36453,1174,325,122,45,0,0,0,119,119,776,6.5,0,6444,6400,37392,5.8,44,1.8,0,97.5,.7,203,1.7,70,41,6,2,0,0,0,0,0,0,1,1,9005,19372,38119,1,9,516
1,70,"MIDDLESEX",18828,0,0,4730,4140,9622,144,192,5419,4203,3282,72,297,394,490,435,447,366,287,193,148,153,18492,17763,574,97,26,32,0,0,0,114,113,685,6.1,1,3168,3145,17790,5.7,23,3.4,0,95.8,.7,192,1.7,71,38,4,1,0,0,0,0,0,0,1,1,9007,8870,18492,1,9,336
1,90,"NEW HAVEN",30703,4487,0,7843,6841,15198,434,387,8559,6639,6012,444,640,807,855,849,738,643,440,286,174,136,29882,28591,780,381,22,104,4,0,0,241,241,1306,5.4,0,5771,5684,28478,5,87,4,0,94.5,1.4,387,1.6,151,73,13,4,0,0,0,0,0,0,1,1,9009,14684,29882,1,9,821
1,110,"NEW LONDON",32918,0,0,8189,7148,16268,732,581,9162,7106,5686,116,525,712,841,812,762,575,457,354,246,286,31605,30593,799,142,16,55,0,0,0,329,325,2173,6.7,4,5357,5231,29397,5.6,126,5.7,.1,92,2.2,581,1.8,193,127,9,0,0,0,0,0,0,0,1,1,9011,15337,31605,1,9,1313
1,130,"TOLLAND",13251,0,0,3449,3138,6524,94,46,3674,2850,2139,18,127,221,278,291,314,283,215,155,112,125,13111,12650,411,50,0,0,0,0,0,35,34,246,7.2,1,2104,2104,12857,6.1,0,1.6,0,98.4,0,46,1.3,27,7,1,0,0,0,0,0,0,0,1,1,9013,6587,13111,1,9,140
1,150,"WINDHAM",28881,0,0,7436,6547,14373,341,184,8095,6278,4200,15,168,326,477,510,570,559,490,386,265,434,28356,27032,1055,198,10,61,0,0,0,98,98,765,7.8,0,4102,4065,27588,6.8,37,2.3,0,96.8,.9,184,1.9,68,25,3,2,0,0,0,0,0,0,1,1,9015,13983,28356,1,9,525
1,0,"CONNECTICUT",237655,7170,0,60739,54289,117208,2771,2648,66012,51196,40876,1082,3268,4670,5706,5790,5663,4711,3748,2654,1688,1896,232236,223437,6425,1589,258,512,4,5,6,1563,1557,9769,6.3,6,39313,38900,222372,5.7,413,3.8,0,95.2,1,2648,1.7,980,505,66,12,0,0,0,0,0,0,1,1,9000,115028,232236,2,9,5419
2,50,"CUMBERLAND",25530,0,0,6208,6624,12519,179,0,6124,6395,4218,144,264,449,535,555,552,477,443,304,224,271,25351,23974,954,180,63,45,20,2,113,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,23005,12832,25351,1,23,179
