state,county,name,totpop,totpopc,urb810,urb25,wm09,wm1015,wm1625,wm2644,wm45,wf09,wf1015,wf1625,wf2644,wf45,ofptot,stot,totpop2,wmtot,wftot,whtot,nwtot,region1,region2,fips,level,statefip
1,10,"FAIRFIELD",41050,40950,0,0,5979,3270,3629,3806,3211,5535,2955,3863,4083,3451,1185,83,41050,19895,19887,39782,1268,1,1,9001,1,9
1,30,"HARTFORD",44733,44733,3955,0,6423,3358,4408,4148,3410,6120,3173,4445,4567,3744,920,17,44733,21747,22049,43796,937,1,1,9003,1,9
1,50,"LITCHFIELD",41375,41375,0,0,6100,3487,3792,3742,3146,5955,3212,3899,4052,3202,784,4,41375,20267,20320,40587,788,1,1,9005,1,9
1,70,"MIDDLESEX",20723,20723,0,0,3070,1510,1889,1820,1653,2962,1493,2044,2075,1837,313,57,20723,9942,10411,20353,370,1,1,9007,1,9
1,90,"NEW HAVEN",37064,37064,5772,0,5391,2924,3409,3602,2815,5028,2698,3436,3763,3097,850,51,37064,18141,18022,36163,901,1,1,9009,1,9
1,110,"NEW LONDON",34707,34707,6214,0,4867,2625,3011,2839,2621,4656,2505,3271,3443,3213,1579,77,34707,15963,17088,33051,1656,1,1,9011,1,9
1,130,"TOLLAND",13779,13779,0,0,1991,1058,1210,1201,1221,1882,964,1353,1347,1332,220,0,13779,6681,6878,13559,220,1,1,9013,1,9
1,150,"WINDHAM",28611,28611,0,0,3991,2266,2532,2541,2407,3775,1931,2762,2963,2820,602,21,28611,13737,14251,27988,623,1,1,9015,1,9
1,0,"CONNECTICUT",262042,261942,15941,0,37812,20498,23880,23699,20484,35913,18931,25073,26293,22696,6453,310,262042,126373,128906,255279,6763,1,1,9000,2,9
2,50,"CUMBERLAND",42831,42831,7169,0,7156,3398,3906,4127,2545,7002,3282,4335,4194,2520,366,0,42831,21132,21333,42465,366,1,1,23005,1,23
2,90,"HANCOCK",30031,30031,0,0,5827,2447,2695,3055,1457,5563,2278,2532,2840,1246,91,0,30031,15481,14459,29940,91,1,1,23009,1,23
2,110,"KENNEBEC",32564,32564,0,0,6068,2672,2885,3128,1791,5727,2519,3032,3027,1541,174,0,32564,16544,15846,32390,174,1,1,23011,1,23
2,150,"LINCOLN",42992,42992,0,0,7860,3510,3900,4126,2571,7304,3391,3865,3912,2389,164,0,42992,21967,20861,42828,164,1,1,23015,1,23
2,170,"OXFORD",17630,17630,0,0,3374,1463,1541,1647,1003,3062,1487,1555,1631,854,13,0,17630,9028,8589,17617,13,1,1,23017,1,23
