state,county,name,totpop,urb820,urb25,wm09,wm1015,wm1618,wm1625,wm2644,wm45,wf09,wf1015,wf1625,wf2644,wf45,fbnntot,agricul,commerce,manufact,sm013,sm1425,sm2644,sm45,sf013,sf1425,sf2644,sf45,fcm013,fcm1425,fcm2644,fcm45,fcf013,fcf1425,fcf2644,fcf45,optot,totpop2,wmtot,wftot,smtot,sftot,fcmtot,fcftot,mtot,ftot,whtot,nwtot,region1,region2,level,fips,statefip
1,10,"FAIRFIELD",42739,0,0,5714,3254,985,4022,3995,3517,5394,3056,4130,4363,3908,96,6157,472,3083,0,0,3,7,0,0,3,14,260,159,148,110,260,152,151,114,5,42739,20502,20851,10,17,677,677,21189,21545,41353,1381,1,1,1,9001,9
1,30,"HARTFORD",47224,4726,0,6322,3427,1097,4664,4622,3594,6035,3337,4704,5223,4129,106,7919,626,3315,0,0,7,2,0,0,3,5,197,164,150,90,202,141,150,96,0,47264,22629,23428,9,8,601,589,23239,24025,46057,1207,1,1,1,9003,9
1,50,"LITCHFIELD",41267,0,0,5542,3186,1047,3974,3892,3263,5230,3190,4242,4182,3587,61,8347,251,2682,0,0,1,2,0,0,0,0,170,109,100,75,150,95,111,72,94,41267,19857,20431,3,0,454,428,20314,20859,40288,885,1,1,1,9005,9
1,70,"MIDDLESEX",22405,2618,0,3093,1600,444,2008,2139,1750,2972,1624,2162,2455,2092,84,3457,424,1582,0,0,0,2,0,0,0,7,99,49,48,36,107,66,60,35,1,22405,10590,11305,2,7,232,268,10824,11580,21895,509,1,1,1,9007,9
1,90,"NEW HAVEN",39610,7147,0,5127,2991,912,3698,3745,3106,5037,2843,3851,4305,3665,82,6673,617,2648,0,0,2,6,0,0,2,6,184,154,156,95,213,164,168,92,0,39616,18667,19701,8,8,589,637,19264,20346,38368,1242,1,1,1,9009,9
1,110,"NEW LONDON",35943,6313,0,4772,2645,741,3158,3020,2802,4588,2573,3562,3666,3453,84,7681,975,1847,0,0,0,3,0,0,2,6,328,185,150,143,312,211,196,168,0,35943,16397,17842,3,8,806,887,17206,18737,34239,1704,1,1,1,9011,9
1,130,"TOLLAND",14330,0,0,1954,1102,325,1252,1387,1215,1919,999,1352,1546,1354,13,3967,60,533,0,0,0,1,0,0,0,1,61,33,25,20,43,21,29,16,0,14330,6910,7170,1,1,139,109,7050,7280,14080,250,1,1,1,9013,9
1,150,"WINDHAM",31684,0,0,4324,2477,733,2955,2832,2567,4094,2211,3202,3329,2890,42,6317,156,1851,0,0,0,1,0,0,3,8,133,98,88,60,134,111,85,82,0,31684,15155,15726,1,11,379,412,15535,16149,30881,803,1,1,1,9015,9
1,0,"CONNECTICUT",275202,20804,0,36848,20682,6284,25731,25632,21814,35289,19833,27205,29069,25078,568,50518,3581,17541,0,0,13,24,0,0,13,47,1432,911,865,629,1421,961,950,675,100,275248,130707,136474,37,60,3837,4007,134581,140541,267181,7941,1,1,2,9000,9
2,50,"CUMBERLAND",49445,8581,0,7524,3866,1232,4756,4439,3462,6982,4120,5485,4899,3497,117,5638,662,1631,0,0,0,0,0,0,0,0,61,21,46,33,72,39,58,19,66,49445,24047,24983,0,0,161,188,24208,25171,49030,349,1,1,1,23005,23
2,90,"HANCOCK",31290,0,0,5565,2711,748,2985,2844,1859,5298,2605,2921,2826,1635,147,5250,1085,706,0,0,0,0,0,0,0,0,8,4,3,6,7,6,4,3,0,31290,15964,15285,0,0,21,20,15985,15305,31249,41,1,1,1,23009,23
2,110,"KENNEBEC",42623,0,0,7063,3521,1043,4234,3981,2609,6805,3353,4380,4061,2450,137,9785,211,1309,0,0,0,0,0,0,0,0,32,14,21,12,29,23,23,12,0,42623,21408,21049,0,0,79,87,21487,21136,42457,166,1,1,1,23011,23
2,150,"LINCOLN",53189,0,0,8682,4449,1232,5089,4863,3477,8346,4165,5728,4852,3369,120,8116,1265,1574,0,0,0,0,0,0,0,0,29,19,10,15,38,18,24,16,0,53189,26560,26460,0,0,73,96,26633,26556,53020,169,1,1,1,23015,23
2,170,"OXFORD",27104,0,0,4639,2297,672,2482,2635,1661,4469,2049,2795,2560,1499,30,6809,13,571,0,0,0,0,0,0,0,0,2,1,0,4,2,6,0,3,0,27104,13714,13372,0,0,7,11,13721,13383,27086,18,1,1,1,23017,23
2,190,"PENOBSCOT",13870,0,0,2587,1152,346,1258,1445,718,2351,1175,1350,1286,532,117,2858,140,251,0,0,0,0,0,0,0,0,2,3,2,1,2,4,1,1,0,13870,7160,6694,0,0,8,8,7168,6702,13854,16,1,1,1,23019,23
