state,county,name,totpop,urb830,urb25,wm04,wm59,wm1014,wm1519,wm2029,wm3039,wm4049,wm5059,wm6069,wm7079,wm8089,wm9099,wm100,wf04,wf59,wf1014,wf1519,wf2029,wf3039,wf4049,wf5059,wf6069,wf7079,wf8089,wf9099,wf100,sm09,sm1023,sm2435,sm3654,sm5599,sm100,sf09,sf1023,sf2435,sf3654,sf5599,sf100,fcm09,fcm1023,fcm2435,fcm3654,fcm5599,fcm100,fcf09,fcf1023,fcf2435,fcf3654,fcf5599,fcf100,totpop2,ddwh013,ddwh1424,ddwh25,blindwh,aliens,ddco013,ddco1424,ddco25,blindcol,wmtot,wftot,whtot,smtot,sftot,stot,fcmtot,fcftot,fctot,mtot,ftot,nwmtot,nwftot,nwtot,wm800,wf800,fips,level,statefip,region1,region2
1,10,"FAIRFIELD",47010,0,0,3118,2886,2844,2475,4057,2612,1830,1290,974,496,132,15,2,2938,2707,2579,2346,4084,2747,2156,1439,1070,618,180,18,1,0,1,0,0,1,0,0,1,0,1,4,0,177,216,132,107,54,0,195,203,128,96,79,1,47010,3,1,4,34,258,1,0,0,1,22731,22883,45614,2,6,8,686,702,1388,23419,23591,688,708,1396,149,199,9001,1,9,1,1
1,30,"HARTFORD",51131,7074,0,3201,3010,2984,2958,4900,3017,1991,1314,827,475,130,9,0,3058,2767,2869,2723,4788,3186,2352,1616,1039,562,191,22,0,0,0,0,0,0,0,0,0,0,0,1,0,120,162,136,89,45,1,131,177,129,92,58,1,51131,18,120,23,37,460,1,2,0,0,24816,25173,49989,0,1,1,553,588,1141,25369,25762,553,589,1142,139,213,9003,1,9,1,1
1,50,"LITCHFIELD",42858,0,0,2681,2680,2537,2280,3732,2673,1731,1169,833,462,135,13,1,2586,2465,2367,2237,3784,2650,1811,1271,961,512,174,27,0,0,0,0,0,2,0,0,0,0,0,0,0,160,126,111,90,48,0,159,160,110,78,39,3,42858,3,10,5,19,59,0,0,0,1,20927,20845,41772,2,0,2,535,549,1084,21464,21394,537,549,1086,149,201,9005,1,9,1,1
1,70,"MIDDLESEX",24844,3123,0,1737,1562,1507,1338,2054,1280,898,632,438,237,87,7,0,1694,1511,1414,1374,2241,1498,1062,742,577,319,97,16,0,0,0,0,0,0,0,0,0,0,1,1,0,73,71,49,31,12,0,72,89,59,43,21,0,24844,7,3,2,13,102,0,0,0,0,11777,12545,24322,0,2,2,236,284,520,12013,12831,236,286,522,94,113,9007,1,9,1,1
1,90,"NEW HAVEN",43847,10180,0,2649,2515,2398,2691,4202,2407,1696,1186,774,430,111,11,0,2570,2391,2413,2460,3942,2587,2018,1468,979,586,174,12,0,1,1,0,0,1,0,1,2,0,2,1,0,135,169,123,91,48,0,127,173,128,105,69,0,43847,4,3,25,25,437,0,0,0,2,21070,21600,42670,3,6,9,566,602,1168,21639,22208,569,608,1177,122,186,9009,1,9,1,1
1,110,"NEW LONDON",42201,7470,0,2643,2468,2586,2356,3662,2237,1532,1014,761,473,121,13,0,2487,2357,2300,2343,3821,2441,1694,1281,1008,542,194,33,1,0,0,0,1,0,0,0,0,0,0,1,0,224,242,148,147,71,1,231,310,188,154,111,4,42201,7,6,11,39,128,1,0,0,2,19866,20502,40368,1,1,2,833,998,1831,20700,21501,834,999,1833,134,228,9011,1,9,1,1
1,130,"TOLLAND",18702,0,0,1244,1177,1219,989,1429,968,816,495,343,244,60,4,0,1241,1145,1129,979,1531,1139,919,560,428,270,96,11,0,0,0,0,0,0,0,0,0,0,0,1,0,37,50,26,19,7,0,41,31,18,28,8,0,18702,0,7,15,12,20,0,0,0,0,8988,9448,18436,0,1,1,139,126,265,9127,9575,139,127,266,64,107,9013,1,9,1,1
1,150,"WINDHAM",27082,0,0,1760,1593,1713,1422,2130,1414,1101,751,545,337,95,9,2,1696,1600,1504,1516,2349,1689,1202,868,645,351,122,17,1,0,0,0,0,0,0,0,0,0,0,0,0,93,85,46,50,28,0,95,90,59,71,32,1,27082,1,2,14,9,17,1,0,0,1,12872,13560,26432,0,0,0,302,348,650,13174,13908,302,348,650,106,140,9015,1,9,1,1
1,0,"CONNECTICUT",297675,27847,0,19033,17891,17788,16509,26166,16608,11595,7851,5495,3154,871,81,5,18270,16943,16575,15978,26540,17937,13214,9245,6707,3760,1228,156,3,1,2,0,1,4,0,1,3,0,4,9,0,1019,1121,771,624,313,2,1051,1233,819,667,417,10,297675,43,152,99,188,1481,4,2,0,7,143047,146556,289603,8,17,25,3850,4197,8047,146905,150770,3858,4214,8072,957,1387,9000,2,9,1,1
2,50,"CUMBERLAND",60102,12598,0,4409,3835,3562,3473,5424,3169,2193,1440,1015,467,154,16,0,4373,3802,3436,3479,5980,3622,2387,1577,1102,542,171,20,1,0,0,0,0,0,0,0,0,0,0,0,0,54,58,49,37,23,0,58,59,55,45,15,0,60102,18,15,16,22,508,0,0,1,0,29157,30492,59649,0,0,0,221,232,453,29378,30724,221,232,453,170,192,23005,1,23,1,1
