state,county,name,totpop,urb840,urb25,wm04,wm59,wm1014,wm1519,wm2029,wm3039,wm4049,wm5059,wm6069,wm7079,wm8089,wm9099,wm100,wf04,wf59,wf1014,wf1519,wf2029,wf3039,wf4049,wf5059,wf6069,wf7079,wf8089,wf9099,wf100,fcm09,fcm1023,fcm2435,fcm3654,fcm5599,fcm100,fcf09,fcf1023,fcf2435,fcf3654,fcf5599,fcf100,sm09,sm1023,sm2435,sm3654,sm5599,sm100,sf09,sf1023,sf2435,sf3654,sf5599,sf100,totpop2,mining,agricul,commerce,manufact,navigoc,naviginl,profess,revvets,ddwh013,ddwh1424,ddwh25,blindwh,inswhpub,inswhpri,ddcol,blindcol,inscopri,inscopub,colleges,cpupil,acoth,acpupil,primcomm,pcpupil,pubpupil,wtillit,printing,binding,dailypa,weeklypa,semtripa,periodic,printemp,printcap,mfgcap,wmtot,wftot,whtot,wm800,wf800,fcmtot,fcftot,fctot,smtot,sftot,stot,mtot,ftot,transpor,region1,region2,level,fips,statefip
1,10,"FAIRFIELD",49917,3294,0,3251,2993,2843,2520,3818,3042,2175,1441,945,594,148,18,0,3132,2730,2591,2547,4240,3336,2347,1720,1171,707,246,25,0,148,234,105,131,47,1,163,211,130,111,54,0,0,0,0,1,0,0,0,0,0,0,1,0,49917,0,6446,420,4167,219,61,227,282,3,3,7,18,6,28,0,1,1,4,0,0,31,867,211,8285,60,22,6,1,0,5,0,0,23,7900,1279720,23788,24792,48580,166,271,666,669,1335,1,1,2,24455,25462,1,1,1,1,9001,9
1,30,"HARTFORD",55629,9468,0,3342,2944,3022,3009,5122,3570,2357,1545,978,513,141,13,4,3206,3042,2790,2922,5271,3713,2736,1955,1226,679,220,27,0,137,148,139,119,41,0,174,190,150,117,66,1,0,0,0,0,0,0,0,0,0,0,0,0,55629,12,8128,771,5159,80,63,329,263,33,107,36,32,17,121,0,3,2,3,2,118,18,1043,240,10983,1,107,11,7,1,10,3,6,193,44775,3161365,26560,27787,54347,158,247,584,698,1282,0,0,0,27144,28485,1,1,1,1,9003,9
1,50,"LITCHFIELD",40448,0,0,2399,2210,2349,2205,3287,2439,1895,1336,816,495,150,12,0,2304,2242,2045,2110,3316,2614,1993,1426,1012,559,173,23,0,135,162,80,91,53,0,119,171,83,98,45,0,0,0,0,0,0,0,0,0,0,0,1,0,40448,46,8376,191,2969,1,0,211,222,3,4,11,16,19,68,0,1,1,3,0,0,12,480,282,9667,0,63,2,0,0,2,0,0,6,1700,994247,19593,19817,39410,162,196,521,516,1037,0,1,1,20114,20334,1,1,1,1,9005,9
1,70,"MIDDLESEX",24879,3511,0,1610,1410,1472,1418,2003,1410,1090,715,458,273,78,4,0,1497,1379,1398,1377,2092,1602,1227,861,580,365,106,14,0,60,64,33,26,20,0,71,66,36,40,23,0,0,0,0,0,0,0,0,0,0,0,1,0,24879,81,3094,246,1898,260,119,120,115,2,3,6,6,9,32,1,1,1,0,1,147,7,328,123,5225,2113,35,4,1,0,2,0,1,26,13200,871354,11941,12498,24439,82,120,203,236,439,0,1,1,12144,12735,1,1,1,1,9007,9
1,90,"NEW HAVEN",48582,12960,0,2883,2725,2449,2553,4399,3184,2026,1341,860,481,149,12,0,2925,2567,2372,2585,4447,3211,2266,1671,1155,655,202,16,1,154,179,124,161,55,1,154,209,182,142,78,0,0,0,0,4,2,0,0,0,0,1,1,0,48582,1,7376,781,4883,462,118,393,237,9,3,19,12,17,47,5,0,4,1,1,561,32,1030,242,8160,1179,166,9,5,1,5,1,4,89,134300,2545679,23062,24073,47135,161,219,674,765,1439,6,2,8,23742,24840,1,1,1,1,9009,9
1,110,"NEW LONDON",44463,9719,0,2746,2543,2491,2546,3962,2722,1834,1186,691,474,175,16,3,2580,2389,2377,2373,3717,2676,2005,1390,973,612,215,24,3,186,252,151,145,79,2,189,283,198,142,113,0,0,0,0,0,0,0,0,0,0,0,0,0,44463,0,11585,183,3590,1666,70,197,241,5,12,11,34,29,28,2,6,8,12,0,6,17,747,231,10790,2619,97,4,3,0,3,0,0,31,15200,1661725,21389,21334,42723,194,242,815,925,1740,0,0,0,22204,22259,1,1,1,1,9011,9
1,130,"TOLLAND",17980,0,0,1070,1015,1050,969,1308,1031,798,632,384,209,83,5,1,1036,1016,942,988,1559,1140,927,733,444,265,123,13,0,39,36,27,21,12,0,31,22,16,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,17980,11,5520,83,1688,11,0,83,132,0,4,10,10,4,28,0,0,3,1,0,0,2,53,124,4880,893,12,0,0,0,0,0,0,0,0,931662,8555,9186,17741,89,136,135,104,239,0,0,0,8690,9290,1,1,1,1,9013,9
1,150,"WINDHAM",28080,0,0,1720,1580,1594,1498,2198,1658,1180,925,595,342,110,12,0,1573,1524,1449,1576,2478,1818,1362,1036,659,432,151,11,0,76,90,51,52,24,0,66,86,65,46,38,0,0,0,0,0,1,0,0,0,0,0,4,0,28080,0,6430,68,3578,1,0,137,174,5,5,8,15,13,32,0,1,0,0,0,0,8,317,166,7749,4047,24,0,0,0,0,0,0,0,0,2223387,13412,14069,27481,122,162,293,301,594,1,4,5,13706,14374,0,1,1,1,9015,9
1,0,"CONNECTICUT",309978,38952,0,19021,17420,17270,16718,26097,19056,13355,9121,5727,3381,1034,92,8,18253,16889,15964,16478,27120,20110,14863,10792,7220,4274,1436,153,4,935,1165,710,746,331,4,967,1238,860,715,433,1,0,0,0,5,3,0,0,0,0,1,8,0,309978,151,56955,2743,27932,2700,431,1697,1666,60,141,108,143,114,384,8,13,20,24,4,832,127,4865,1619,65739,10912,526,36,17,2,27,4,11,368,217075,13669139,148300,153556,301856,1134,1593,3891,4214,8105,8,9,17,152199,157779,,1,1,2,9000,9
2,30,"AROOSTOOK",9413,0,0,930,749,555,452,1186,705,382,200,93,29,6,1,0,846,704,509,497,677,426,255,122,55,26,4,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9413,0,2273,0,27,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,1150,0,971,0,0,0,0,0,0,0,0,12800,5288,4122,9410,7,5,1,2,3,0,0,0,5289,4124,0,1,1,1,23003,23
2,50,"CUMBERLAND",68658,15218,0,4807,4447,3966,3633,5762,4051,2713,1752,1122,691,182,17,1,4704,4200,3942,3938,6414,4434,3091,2025,1265,720,208,31,1,56,73,59,53,25,0,64,79,58,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,68658,5,11060,547,3248,1561,71,324,228,5,20,26,37,35,40,2,2,5,4,1,150,21,2415,401,18660,8172,121,10,6,2,7,3,4,97,35250,822166,33144,34973,68117,200,240,266,275,541,0,0,0,33410,35248,1,1,1,1,23005,23
2,70,"FRANKLIN",20801,0,0,1719,1527,1348,1239,1584,1235,852,524,314,191,31,4,0,1515,1458,1301,1136,1720,1154,905,499,308,171,45,3,0,0,5,2,2,0,0,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20801,0,4889,43,501,7,0,88,55,1,3,5,8,12,22,1,0,3,0,0,0,0,0,171,7185,296,60,1,0,0,1,0,0,4,500,112003,10568,10215,20783,35,48,9,9,18,0,0,0,10577,10224,0,1,1,1,23007,23
2,90,"HANCOCK",28605,0,0,2665,2132,1841,1548,2381,1673,1097,599,430,212,43,6,1,2475,2139,1712,1542,2268,1555,1038,558,410,191,57,7,1,3,3,2,3,1,0,2,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28605,0,5512,170,1021,1501,23,89,29,1,2,5,3,12,22,0,0,3,0,0,0,5,179,252,10946,8375,68,0,0,0,0,0,0,0,0,178111,14628,13953,28581,50,65,12,12,24,0,0,0,14640,13965,1,1,1,1,23009,23
2,110,"KENNEBEC",55823,10356,0,4200,3867,3529,3253,4609,3180,2307,1460,874,499,123,22,1,3930,3726,3249,3254,4979,3291,2303,1454,883,465,145,19,2,28,40,19,18,5,1,24,27,17,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,55823,7,13882,334,2911,356,93,249,207,8,9,5,21,36,35,2,1,6,2,2,95,12,1311,334,17163,5549,499,7,4,0,6,0,1,40,16450,616886,27924,27700,55624,146,166,111,88,199,0,0,0,28035,27788,1,1,1,1,23011,23
2,150,"LINCOLN",63517,5141,0,4998,4426,3949,3475,5742,3671,2437,1595,980,557,174,14,1,4673,4291,3736,3565,5290,3618,2640,1555,1086,587,193,27,2,17,50,25,28,10,0,19,36,20,21,8,1,0,0,0,0,0,0,0,0,0,0,0,0,63517,0,11348,532,3332,3141,124,215,178,8,8,15,41,27,54,1,1,13,7,1,17,12,586,360,18986,7535,229,4,1,0,4,0,0,14,3800,1251323,32019,31263,63282,189,222,130,105,235,0,0,0,32149,31368,1,1,1,1,23015,23
2,170,"OXFORD",38351,0,0,3000,2722,2585,2221,2843,2208,1642,1107,609,361,93,9,0,2931,2641,2424,2013,2966,2251,1639,975,639,355,102,7,1,1,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38351,0,11371,51,1311,10,4,123,180,5,5,5,1,14,17,3,0,7,9,0,4,8,359,309,14330,2252,151,1,0,0,1,0,0,3,1000,89444,19400,18944,38344,102,110,5,2,7,0,0,0,19405,18946,0,1,1,1,23017,23
2,190,"PENOBSCOT",45705,8627,0,4008,3291,2735,2330,4585,3418,1695,944,478,212,45,8,0,3791,3231,2636,2504,4062,2642,1482,784,461,174,52,7,0,18,28,13,13,4,0,15,19,11,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45705,22,7485,477,2549,422,181,222,71,2,5,3,4,4,16,0,2,2,2,0,0,4,275,270,14797,3872,225,3,2,1,2,0,0,13,4300,955674,23749,21826,45575,53,59,76,54,130,0,0,0,23825,21880,1,1,1,1,23019,23
