state,county,name,totpop,urb860,urb25,wm0,wf0,wm14,wf14,wm59,wf59,wm1014,wf1014,wm1519,wf1519,wm2029,wf2029,wm3039,wf3039,wm4049,wf4049,wm5059,wf5059,wm6069,wf6069,wm7079,wf7079,wm8089,wf8089,wm9099,wf9099,wm100,wf100,wmunk,wfunk,wmtot,wftot,whtot,fcm0,fcf0,fcm14,fcf14,fcm59,fcf59,fcm1014,fcf1014,fcm1519,fcf1519,fcm2029,fcf2029,fcm3039,fcf3039,fcm4049,fcf4049,fcm5059,fcf5059,fcm6069,fcf6069,fcm7079,fcf7079,fcm8089,fcf8089,fcm9099,fcf9099,fcm100,fcf100,fcmunk,fcfunk,fcmtot,fcftot,fctot,sm0,sf0,sm14,sf14,sm59,sf59,sm1014,sf1014,sm1519,sf1519,sm2029,sf2029,sm3039,sf3039,sm4049,sf4049,sm5059,sf5059,sm6069,sf6069,sm7079,sf7079,sm8089,sf8089,sm9099,sf9099,sm100,sf100,smunk,sfunk,smtot,sftot,stot,indm0,indf0,indm14,indf14,indm59,indf59,indm1014,indf1014,indm1519,indf1519,indm2029,indf2029,indm3039,indf3039,indm4049,indf4049,indm5059,indf5059,indm6069,indf6069,indm7079,indf7079,indm8089,indf8089,indm9099,indf9099,indm100,indf100,indmunk,indfunk,indmtot,indftot,indtot,nbwmtot,nbwftot,nbwtot,nbblmtot,nbblftot,nbbltot,nbmumtot,nbmuftot,nbmutot,nbfree,fbwmtot,fbwftot,fbwtot,fbblmtot,fbblftot,fbbltot,fbmumtot,fbmuftot,fbmutot,fbfree,totfree,acimp,acunimp,farmval,equipval,livstock,orchard,garden,homemfg,slaugval,farm39,farm1019,farm2049,farm5099,farm100,farm500,farm1000,slh1,slh2,slh3,slh4,slh5,slh6,slh7,slh8,slh9,slh1014,slh1519,slh2029,slh3039,slh4049,slh5069,slh7099,slh100,slh200,slh300,slh500,slh1000,slhtot,slaves,mfgestab,mfgcap,mfgrms,mfglabm,mfglabf,mfglcost,mfgout,realest,persest,families,totfree2,adventis,advenacc,advenval,baptist,baptacc,baptval,fwbaptis,fwbapacc,fwbapval,mennonit,mennacc,mennval,sdbaptis,sdbapacc,sdbapval,spbaptis,spbapacc,spbapval,tunker,tunkacc,tunkval,winbapti,wibapacc,wibapval,christia,chrisacc,chrisval,congrega,congracc,congrval,dutchref,dutchacc,dutchval,episcopa,episcacc,episcval,quaker,quakacc,quakval,germref,germracc,germrval,jewish,jewisacc,jewisval,lutheran,luthacc,luthval,methodis,methacc,methval,moravian,moravacc,moravval,mormon,mormoacc,mormoval,presbyte,presbacc,presbval,cpresbyt,cpresacc,cpresval,rpresbyt,rpresacc,rpresval,upresbyt,upresacc,upresval,rcatholi,rcathacc,rcathval,shaker,shakacc,shakval,spiritua,spiriacc,spirival,swedenbo,swedacc,swedval,union,unionacc,unionval,unitaria,unitacc,unitval,universa,univsacc,univsval,sects,sectsacc,sectsval,churches,churacc,churval,hbm0,hbf0,hbm14,hbf14,hbm59,hbf59,hbm1014,hbf1014,hbm1519,hbf1519,hbm2029,hbf2029,hbm3039,hbf3039,hbm4049,hbf4049,hbm5059,hbf5059,hbm6069,hbf6069,hbm7079,hbf7079,hbm8089,hbf8089,hbm9099,hbf9099,hbm100,hbf100,hbmunk,hbfunk,hbmtot,hbftot,hbtot,asm0,asf0,asm14,asf14,asm59,asf59,asm1014,asf1014,asm1519,asf1519,asm2029,asf2029,asm3039,asf3039,asm4049,asf4049,asm5059,asf5059,asm6069,asf6069,asm7079,asf7079,asm8089,asf8089,asm9099,asf9099,asm100,asf100,asmunk,asfunk,asmtot,asftot,astot,water,rail,m0,m14,m59,m1014,m1519,m2029,m3039,m4049,m5059,m6069,m7079,m8089,m9099,m100,munk,mtot,f0,f14,f59,f1014,f1519,f2029,f3039,f4049,f5059,f6069,f7079,f8089,f9099,f100,funk,ftot,tot0,tot14,tot59,tot1014,tot1519,tot2029,tot3039,tot4049,tot5059,tot6069,tot7079,tot8089,tot9099,tot100,totunk,m800,f800,region1,region2,level,fips,statefip
1,10,"FAIRFIELD",77476,16588,0,983,1045,3734,3700,4061,4035,3754,3608,3484,3819,6280,7540,5155,5497,3888,3804,2591,2815,1679,1942,798,1032,191,305,16,43,0,1,0,0,36614,39186,75800,17,14,72,79,89,86,94,99,86,103,131,139,102,131,88,95,64,80,33,41,12,15,1,3,0,1,1,0,0,0,790,886,1676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30852,32845,63697,642,727,1369,140,153,293,65359,5762,6341,12103,6,5,11,2,1,3,12117,77476,230692,68321,15944881,310222,1735071,77972,107539,2754,521811,176,468,1576,1386,627,0,0,,,,,,,,,,,,,,,,,,,,,,,,435,4264475,5706183,6017,2039,2721804,11540568,40580891,27517178,16102,77476,0,0,0,13,5425,93700,0,0,0,,,,0,0,0,,,,,,,,,,2,850,4500,37,19470,395400,,,,28,14275,295910,0,0,0,,,,0,0,0,,,,37,14355,186900,,,,,,,3,2500,54000,,,,,,,,,,8,4520,68000,,,,0,0,0,,,,2,600,1500,0,0,0,5,1450,26000,1,150,4000,136,63595,1129910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,1000,3806,4150,3848,3570,6411,5257,3976,2655,1712,810,192,16,1,0,,1059,3779,4121,3707,3922,7679,5628,3899,2895,1983,1047,308,44,1,0,,2059,7585,8271,7555,7492,14090,10885,7875,5550,3695,1857,500,60,2,0,209,353,1,1,1,9001,9
1,30,"HARTFORD",89962,26917,26917,1090,1089,4338,4174,4550,4451,3997,4050,4217,4491,8625,9176,6786,6460,4611,4421,2934,3015,1657,2130,760,1093,181,295,11,30,1,2,8,0,43766,44877,88643,13,13,48,54,54,66,68,73,81,68,155,131,102,77,69,77,43,39,19,27,14,15,2,6,2,1,1,1,0,0,671,648,1319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34187,34946,69133,563,547,1110,101,98,199,70442,9579,9931,19510,7,3,10,0,0,0,19520,89962,290219,94496,19863633,553633,1961211,120013,144768,9361,606643,245,452,1043,1281,952,9,2,,,,,,,,,,,,,,,,,,,,,,,,405,11171200,8157227,8437,3917,3675948,16827016,42273005,31339896,17927,89962,4,1300,11600,16,9075,212800,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,50,31983,729900,,,,15,7706,209200,0,0,0,,,,1,800,15000,,,,32,11995,123800,,,,,,,3,1950,21000,,,,,,,,,,8,5850,84000,,,,1,150,,,,,0,0,0,1,600,25000,4,1950,39500,0,0,0,135,73359,1471800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,1103,4386,4604,4065,4298,8780,6888,4680,2977,1676,774,183,13,2,8,,1102,4228,4517,4123,4559,9307,6537,4498,3054,2157,1108,301,31,3,0,,2205,8614,9121,8188,8857,18087,13425,9178,6031,3833,1882,484,44,5,8,198,335,1,1,1,9003,9
1,50,"LITCHFIELD",47318,0,0,556,529,2258,2079,2459,2497,2320,2172,2207,2232,3552,4036,3099,3139,2522,2338,1889,1856,1314,1366,645,707,165,228,15,26,0,1,0,0,23001,23206,46207,11,15,63,56,82,82,80,64,65,52,70,86,73,57,45,56,45,34,27,19,11,11,2,2,3,0,0,0,0,0,577,534,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20309,20586,40895,413,351,764,163,182,345,42004,2692,2620,5312,1,0,1,0,1,1,5314,47318,330669,131941,14414233,365183,2225611,65333,4907,4700,430559,33,112,754,1303,1428,6,1,,,,,,,,,,,,,,,,,,,,,,,,360,3747675,2825663,3510,1036,1433724,5725863,21688110,14774622,9701,47318,2,375,850,8,1850,8400,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,42,19500,291500,,,,20,7560,114450,2,300,1510,,,,0,0,0,,,,27,7850,64100,,,,,,,0,0,0,,,,,,,,,,6,1550,9000,,,,0,0,0,,,,1,250,800,0,0,0,1,300,2000,0,0,0,109,39535,492610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,567,2321,2541,2400,2272,3622,3172,2567,1934,1341,656,167,18,0,0,,544,2135,2579,2236,2284,4122,3196,2394,1890,1385,718,230,26,1,0,,1111,4456,5120,4636,4556,7744,6368,4961,3824,2726,1374,397,44,1,0,185,257,1,1,1,9005,9
1,70,"MIDDLESEX",30859,5182,0,354,357,1440,1523,1594,1624,1524,1420,1313,1506,2381,2690,2156,2201,1603,1628,1125,1240,778,916,389,457,97,165,8,16,0,2,9,6,14771,15751,30522,2,10,19,14,20,15,19,23,16,16,33,34,16,27,8,16,14,13,2,8,4,5,0,2,0,1,0,0,0,0,153,184,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12618,13509,26127,120,135,255,30,46,76,26458,2153,2242,4395,2,3,5,1,0,1,4401,30859,144104,56533,5730601,139714,809209,44643,4174,8660,197721,111,236,613,660,515,5,0,,,,,,,,,,,,,,,,,,,,,,,,216,2805840,1649836,3104,801,1109438,3990499,12113307,9674931,7068,30859,0,0,0,11,4200,46900,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,22,10536,159420,,,,7,2530,81500,0,0,0,,,,0,0,0,,,,20,7101,73200,,,,,,,5,2100,40000,,,,,,,,,,1,1200,32000,,,,0,0,0,,,,0,0,0,0,0,0,1,650,13500,0,0,0,67,28317,446520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,356,1459,1614,1543,1329,2414,2172,1611,1139,780,393,97,8,0,9,,367,1537,1639,1443,1522,2724,2228,1644,1253,924,462,167,17,2,6,,723,2996,3253,2986,2851,5138,4400,3255,2392,1704,855,264,25,2,15,105,186,1,1,1,9007,9
1,90,"NEW HAVEN",97345,49271,39267,1316,1290,4841,4703,4815,4963,4165,4129,4441,4674,9768,10459,7266,6986,4831,4670,2836,3063,1656,1993,758,1049,174,333,7,34,2,1,0,0,46876,48347,95223,32,22,72,95,88,110,90,97,119,127,181,226,135,177,96,140,60,89,46,50,18,24,2,11,2,3,0,0,1,0,942,1171,2113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,9,35926,36963,72889,647,826,1473,275,329,604,74966,10955,11388,22343,14,12,26,6,4,10,22379,97345,241652,95327,13973305,347517,1656898,83057,39810,8104,540089,238,429,1206,1147,723,6,1,,,,,,,,,,,,,,,,,,,,,,,,642,11760440,12289164,12304,6474,5770222,23369641,46143525,33415092,20096,97345,2,300,850,10,6000,113500,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,50,38520,658405,,,,30,14850,416600,0,0,0,,,,0,0,0,,,,29,12730,178800,,,,,,,1,800,15000,,,,,,,,,,14,10070,258000,,,,0,0,0,,,,1,200,800,0,0,0,1,600,30000,0,0,0,138,84070,1671955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,1348,4914,4903,4256,4560,9949,7402,4928,2896,1703,776,176,9,2,1,,1313,4798,5075,4226,4801,10685,7164,4810,3152,2043,1073,344,37,1,0,,2661,9712,9978,8482,9361,20634,14566,9738,6048,3746,1849,520,46,3,1,187,382,1,1,1,9009,9
1,110,"NEW LONDON",61731,24163,0,712,658,2792,2779,3052,3033,3010,2903,2943,3212,5950,5949,4321,4175,3136,2951,2024,2175,1264,1510,621,749,136,261,28,41,0,2,0,0,29989,30398,60387,15,7,53,44,57,69,75,74,67,82,127,131,89,109,85,91,18,38,26,33,18,21,3,5,1,5,0,1,0,0,634,710,1344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25283,25398,50681,499,598,1097,77,103,180,51958,4706,5000,9706,45,6,51,13,3,16,9773,61731,233857,88804,9464881,250818,1242262,45727,25004,2889,379067,58,202,690,947,950,6,0,,,,,,,,,,,,,,,,,,,,,,,,558,6497000,4830514,5830,2498,2354956,9810716,24328377,23713840,11942,61731,0,0,0,35,13005,126630,0,0,0,,,,2,600,5000,,,,,,,,,,1,250,900,33,13920,266150,,,,7,3200,144000,0,0,0,,,,0,0,0,,,,20,7375,70200,,,,,,,1,200,1500,,,,,,,,,,4,9550,101500,,,,0,0,0,,,,0,0,0,0,0,0,2,1300,15000,0,0,0,105,49400,730880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,727,2845,3109,3085,3010,6077,4410,3221,2042,1290,639,139,29,0,0,,665,2823,3102,2977,3294,6080,4284,3042,2213,1543,770,266,46,3,0,,1392,5668,6211,6062,6304,12157,8694,6263,4255,2833,1409,405,75,3,0,168,315,1,1,1,9011,9
1,130,"TOLLAND",20709,0,0,167,141,933,866,1021,922,1036,965,1025,1115,1674,1822,1313,1332,1079,1131,850,886,577,657,325,378,96,113,8,20,0,0,0,0,10104,10348,20452,4,2,11,19,21,15,24,15,13,14,18,16,14,9,15,16,7,5,3,6,3,1,3,0,1,0,0,1,0,0,137,119,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8840,9160,18000,128,106,234,8,13,21,18255,1265,1188,2453,0,0,0,1,0,1,2454,20709,119992,55235,3826376,153377,606473,19783,4766,7647,187543,45,95,454,779,521,0,0,,,,,,,,,,,,,,,,,,,,,,,,251,1809100,2975802,1789,1265,783232,4752291,6640153,4295985,6216,20709,0,0,0,9,1450,23000,0,0,0,,,,0,0,0,,,,,,,,,,0,0,0,25,9600,141630,,,,1,200,,0,0,0,,,,0,0,0,,,,13,3760,41800,,,,,,,0,0,0,,,,,,,,,,2,1050,3000,,,,0,0,0,,,,0,0,0,0,0,0,3,750,6500,0,0,0,53,16810,215930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,171,944,1042,1060,1038,1692,1327,1094,858,580,328,99,9,0,0,,143,885,937,980,1129,1838,1341,1147,891,663,379,113,20,1,0,,314,1829,1979,2040,2167,3530,2668,2241,1749,1243,707,212,29,1,0,108,134,1,1,1,9013,9
1,150,"WINDHAM",34747,0,0,338,324,1527,1541,1752,1725,1875,1795,1861,1937,2654,2999,2111,2307,1789,1842,1311,1370,905,970,454,552,135,159,17,18,0,1,1,0,16730,17540,34270,4,5,29,22,29,31,27,39,27,33,27,27,23,26,30,22,19,17,7,12,8,4,1,0,1,1,0,0,0,0,232,239,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,14410,15132,29542,155,168,323,75,69,144,30009,2321,2413,4734,1,2,3,1,0,1,4738,34747,239622,82799,7612095,219017,1074344,52320,6057,4839,318559,30,87,562,992,950,7,0,,,,,,,,,,,,,,,,,,,,,,,,152,3534700,2474701,3011,2437,1176876,5907961,9841918,6327291,5779,34747,1,300,1500,13,3750,36800,2,600,3500,,,,1,150,300,,,,,,,,,,1,200,1000,22,8900,107200,,,,4,1050,10000,1,200,300,,,,0,0,0,,,,10,3400,30000,,,,,,,0,0,0,,,,,,,,,,0,0,0,,,,2,550,1000,,,,0,0,0,1,300,1500,1,200,1500,0,0,0,59,19600,194600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,1,342,1556,1781,1903,1888,2681,2134,1819,1330,912,462,136,18,0,1,,329,1564,1756,1835,1971,3026,2333,1864,1389,982,556,159,19,1,0,,671,3120,3537,3738,3859,5707,4467,3683,2719,1894,1018,295,37,1,1,154,179,1,1,1,9015,9
1,0,"CONNECTICUT",460147,122121,66184,5516,5433,21863,21365,23304,23250,21681,21042,21491,22986,40884,44671,32207,32097,23459,22785,15560,16420,9830,11484,4750,6017,1175,1859,110,228,3,10,18,6,221851,229653,451504,97,88,367,383,440,474,477,484,474,495,742,790,554,613,436,513,270,315,164,196,88,96,14,29,10,12,2,3,1,0,4136,4491,8627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,1,0,1,0,0,1,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,7,9,16,182425,188539,370964,3167,3458,6625,869,993,1862,379451,39433,41123,80556,76,31,107,24,9,33,80696,460147,1830807,673456,90830005,2339481,11311079,508848,337025,48954,3181992,936,2081,6898,8477,6666,39,4,,,,,,,,,,,,,,,,,,,,,,,,3019,45590430,40909090,44002,20467,19026196,81924555,2.036e+08,1.511e+08,94831,460147,9,2275,14800,115,44755,661730,2,600,3500,,,,3,750,5300,,,,,,,,,,4,1300,6400,281,152429,2749605,,,,112,51371,1271660,3,500,1810,,,,1,800,15000,,,,188,68566,768800,,,,,,,13,7550,131500,,,,,,,,,,43,33790,555500,,,,3,700,1000,,,,4,1050,3100,2,900,26500,18,7200,134000,1,150,4000,802,374686,6354205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,5613,22231,23744,22160,21965,41626,32762,23896,15831,9995,4838,1189,120,5,19,,5522,21749,23726,21527,23482,45461,32711,23298,16737,11680,6113,1888,240,13,6,,11135,43980,47470,43687,45447,87087,65473,47194,32568,21675,10951,3077,360,18,25,1314,2141,1,1,2,9000,9
2,10,"ANDROSCOGGIN",29726,7424,0,343,318,1395,1360,1557,1500,1530,1414,1577,1852,2571,3058,1832,1844,1455,1440,1137,1114,718,737,390,342,90,98,15,28,0,0,0,0,14610,15105,29715,0,0,0,0,1,0,1,1,2,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13942,14410,28352,5,2,7,1,2,3,28362,668,695,1363,0,0,0,1,0,1,1364,29726,145186,89055,4990907,180428,822209,30444,5703,12684,168532,46,166,1082,1236,247,0,0,,,,,,,,,,,,,,,,,,,,,,,,196,2794766,1959412,1839,1918,911892,3625948,7624999,3489170,5848,29726,1,150,300,12,3445,28800,14,4230,34200,,,,,,,,,,,,,,,,0,0,0,9,3445,32400,,,,1,350,2000,3,860,1600,,,,,,,0,0,0,13,4055,20800,,,,,,,,,,,,,,,,,,,1,450,1500,0,0,0,0,0,0,0,0,0,4,1100,4200,0,0,0,9,2850,12150,0,0,0,67,20935,137950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,1,343,1395,1558,1531,1579,2572,1832,1456,1137,719,390,90,15,0,0,,318,1360,1500,1415,1852,3058,1845,1441,1115,737,342,98,28,0,0,,661,2755,3058,2946,3431,5630,3677,2897,2252,1456,732,188,43,0,0,105,126,1,1,1,23001,23
