state,county,name,totpop,urb870,urb25,whtot,cotot,chitot,indtot,nbtot,fbtot,fptot,fpfath,fpmoth,fpboth,nbtot2,nbsttot,pbal,pbar,pbca,pbct,pbde,pbfl,pbga,pbil,pbin,pbia,pbks,pbky,pbla,pbme,pbmd,pbma,pbmi,pbmn,pbms,pbmo,pbne,pbnv,pbnh,pbnj,pbny,pbnc,pboh,pbor,pbpa,pbri,pbsc,pbtn,pbtx,pbvt,pbvawv,pbwi,pbak,pbaz,pbco,pbsd,pbdc,pbid,pbit,pbmt,pbnm,pbut,pbwa,pbwy,pbns,fbtot2,pbafrica,pbatlisl,pbaustra,pbaustri,pbbelg,pbbohem,pbbritam,pbchina,pbcuba,pbdenmar,pbenglwa,pbfrance,pbgerman,pbgrbrit,pbhollan,pbhung,pbirelan,pbitaly,pbmexico,pbpoland,pbportug,pbrussia,pbscot,pbspain,pbswedno,pbswitz,pbwesind,totsch,nbsch,fbsch,wmsch,wfsch,comsch,cofsch,indsch,chisch,japsch,noread,nowrite,nbnowrit,fbnowrit,wm10writ,wf10writ,wm15writ,wf15writ,wm21writ,wf21writ,com10wri,cof10wri,com15wri,cof15wri,com21wri,cof21wri,indwri,chiwri,totpop2,mtot,ftot,m518,f518,m1844,m21tot,mcit21,acimp,acwoods,acunioth,farmval,equipval,farmlab,farmout,orchard,garden,forest,homemfg,slaugval,livstock,farms,farm02,farm39,farm1019,farm2049,farm5099,farm100,farm500,farm1000,mfgestab,mfglabor,mfglbm16,mfglbf16,mfglbch,mfgcap,mfgwages,mfgrms,mfgout,wealthas,wealth,taxnonat,taxstate,taxcoun,taxlocal,debtcoun,debtlocl,baptist,baptsit,christia,chrissit,congrega,congrsit,episcopa,episcsit,evangeli,evangsit,quaker,quaksit,jewish,jewisit,lutheran,luthesit,methodis,methosit,morman,mormosit,newjerus,newjesit,presbyte,presbsit,refldutc,refdusit,reflgerm,refgesit,rcatholi,rcathsit,secadven,secadsit,unitaria,unitasit,unibreth,unibrsit,universa,univesit,churches,edifices,sittings,churval,region1,region2,fips,level
1,10,"FAIRFIELD",95276,25511,0,93582,1680,0,14,77400,17876,33994,32862,32461,31329,77400,60995,,,,60995,,,,,,,,,,,,1541,,,,,,,,915,11611,,,,,207,,,,209,,,,,,,,,,,,,,,,17876,,4,,47,,,387,,,43,2157,117,2646,0,,,12019,,,,,,437,,97,84,,15341,14929,412,7818,7364,70,86,3,0,0,2957,4706,1106,3600,178,160,115,178,1427,2308,10,8,11,39,119,148,5,0,95276,46163,49113,12362,12353,18897,25925,22237,199762,50574,24292,25038719,382866,707478,3891312,96039,263982,112137,12000,854181,2670137,3836,9,242,512,1407,1151,514,0,1,754,13844,10218,3074,552,12145097,6580593,12552187,23499004,54042116,1.249e+08,712838,119818,12885,580135,0,957331,14,4950,,,37,16450,34,13716,,,,,,,,,38,14250,,,,,3,1900,,,,,7,3950,0,0,,,,,4,1600,141,153,57551,2358998,1,1,9001,1
1,30,"HARTFORD",109007,45182,37180,107252,1752,1,2,82716,26291,47875,46977,46623,45725,82716,68701,,,,68701,,,,,,,,,,,,5175,,,,,,,,434,3994,,,,,586,,,,802,,,,,,,,,,,,,,,,26291,,3,,36,,,1359,,,27,3026,164,3341,0,,,16957,,,,,,925,,72,103,,20920,19836,1084,10497,10250,87,85,1,0,0,3711,5591,777,4814,134,156,154,199,1851,2783,8,14,11,29,143,109,0,0,109007,53957,55050,14067,13910,23063,30594,26070,278436,88525,5044,28289158,730565,1046609,6220911,173863,78239,251842,4204,763938,3259387,4693,11,348,649,1453,1364,863,5,0,1031,19106,13789,4085,1232,21259828,9316592,17542785,35039324,79051800,2.038e+08,1291828,169151,2338,1120339,500,3846957,15,8900,,,51,27350,24,9046,,,,,,,,,34,11975,,,,,3,1900,,,,,7,3582,2,350,,,,,2,1300,142,158,65603,3300805,1,1,9003,1
1,50,"LITCHFIELD",48727,0,0,47648,1052,0,27,41655,7072,12771,12406,12303,11938,41655,35686,,,,35686,,,,,,,,,,,,1729,,,,,,,,87,3206,,,,,102,,,,160,,,,,,,,,,,,,,,,7072,,3,,3,,,403,,,7,940,230,575,0,,,4706,,,,,,86,,30,36,,7847,7651,196,4058,3644,75,67,3,0,0,1119,1867,716,1151,108,83,80,65,651,719,17,13,12,10,54,50,5,0,48727,24558,24169,6535,6197,9462,14063,12217,342308,101656,8519,19344295,591403,596414,4456676,91582,3625,106268,2477,960662,3484593,3850,7,173,221,691,1250,1497,11,0,609,4846,3800,795,251,5362490,1964975,5613473,9918508,26447170,53843564,362658,59234,1153,302271,715,587600,9,1900,,,41,17350,24,6116,,,,,,,,,24,7050,,,,,0,0,,,,,3,1050,0,0,,,,,0,0,103,117,33716,861909,1,1,9005,1
1,70,"MIDDLESEX",36099,6923,0,35722,372,0,5,28545,7554,12865,12615,12524,12274,28545,25132,,,,25132,,,,,,,,,,,,728,,,,,,,,196,1384,,,,,160,,,,145,,,,,,,,,,,,,,,,7554,,5,,3,,,213,,,6,1020,19,430,0,,,5418,,,,,,299,,63,24,,6962,6673,289,3556,3368,24,14,0,0,0,1552,2409,341,2068,71,77,67,78,1011,1035,3,5,0,2,30,28,2,0,36099,18453,17646,4388,4429,8061,11212,8513,82016,53454,27010,6932828,221651,256982,1504256,25432,18398,97047,3999,225699,1040838,1848,15,219,315,670,410,219,0,0,429,4503,3356,872,275,4614630,1877636,3937528,7719537,16047490,38422380,290067,35922,3737,250408,0,1383810,11,4000,,,26,10250,10,2802,,,,,,,,,18,6525,,,,,1,75,,,,,5,1500,0,0,,,,,1,400,72,78,25552,797012,1,1,9007,1
1,90,"NEW HAVEN",121257,73308,50840,118517,2734,0,6,91415,29842,54711,53735,53319,52343,91415,76775,,,,76775,,,,,,,,,,,,3094,,,,,,,,762,6286,,,,,268,,,,550,,,,,,,,,,,,,,,,29842,,12,,57,,,1089,,,24,3672,219,3906,0,,,19621,,,,,,711,,88,140,,23989,22945,1044,12365,11280,179,165,0,0,0,2767,4677,965,3712,185,110,108,155,1049,2633,17,8,17,19,157,218,1,0,121257,60103,61154,15713,15485,26317,33902,29441,192563,64975,23921,17256347,428179,658978,3614178,61726,161245,183949,1551,634160,2284658,3413,7,292,479,1144,921,567,3,0,940,23306,16927,4918,1461,29445641,11549919,22054303,45156181,81606194,1.745e+08,1347196,174548,0,1172648,0,1540115,10,6100,,,50,29075,32,14332,,,,,,,,,27,11850,,,,,0,0,,,,,10,8766,0,0,,,,,3,1600,138,146,74423,3549985,1,1,9009,1
1,110,"NEW LONDON",66570,26229,0,65010,1419,0,141,53668,12902,21945,21289,21185,20529,53668,45367,,,,45367,,,,,,,,,,,,1620,,,,,,,,184,1989,,,,,2753,,,,279,,,,,,,,,,,,,,,,12902,,167,,3,,,2373,,,9,1112,36,943,0,,,7465,,,,,,568,,44,48,,13157,12591,566,6515,6421,102,101,18,0,0,3129,4765,781,3984,272,257,229,293,1399,2086,10,9,16,19,71,102,2,0,66570,32677,33893,8657,8780,13285,18486,15548,227162,86584,19413,12878346,352273,598741,2895417,31027,45405,168076,6546,631822,2144279,3161,10,212,334,766,906,926,7,0,703,10624,7219,2701,704,11279402,3896885,12279363,19797065,39495179,87262960,533814,85078,0,448736,3332,1193147,35,13250,,,36,14900,8,3500,,,,,,,,,19,5500,,,,,0,0,,,,,4,2950,0,0,,,,,2,1100,107,116,41640,1470500,1,1,9011,1
1,130,"TOLLAND",22000,0,0,21801,199,0,0,18469,3531,6025,5889,5843,5707,18469,15264,,,,15264,,,,,,,,,,,,1615,,,,,,,,56,462,,,,,512,,,,198,,,,,,,,,,,,,,,,3531,,0,,2,,,431,,,0,636,30,793,0,,,1511,,,,,,66,,0,44,,4286,4083,203,2219,2037,11,19,0,0,0,624,853,142,711,19,9,27,34,316,418,1,0,3,0,11,15,0,0,22000,10733,11267,2795,2732,4009,6184,5412,133856,57471,21733,6308423,246322,224926,1654198,23035,11224,153730,7308,306230,1112221,2119,12,99,217,654,680,457,0,0,238,3909,2119,1499,291,3177931,1295846,5643279,8907799,9133166,18834346,161040,21236,0,139804,882,199495,5,1150,,,22,8950,1,500,,,,,,,,,11,3325,,,,,0,0,,,,,3,1850,1,230,,,,,1,600,46,53,17255,495400,1,1,9013,1
1,150,"WINDHAM",38518,0,0,38017,460,1,40,29947,8571,13464,13185,13119,12840,29947,22578,,,,22578,,,,,,,,,,,,2369,,,,,,,,60,662,,,,,3309,,,,303,,,,,,,,,,,,,,,,8571,,0,,3,,,4606,,,0,726,6,109,0,,,2935,,,,,,146,,1,13,,7161,6673,488,3668,3428,32,27,6,0,0,3821,4748,850,3898,372,339,486,442,1286,1701,3,5,13,12,42,34,13,0,38518,18626,19892,5290,5269,6787,10049,8061,190649,74094,10399,8193266,293340,314936,2245202,33250,17600,151058,15212,505166,1548925,2588,0,131,210,648,856,743,0,0,424,9385,4256,2866,2263,7996259,2504741,6796661,11028056,16730373,39032364,192969,37604,0,155365,674,98448,17,4900,,,27,8850,6,950,,,,,,,,,13,3500,,,,,0,0,,,,,5,2770,4,800,,,,,1,250,77,81,22995,593500,1,1,9015,1
1,0,"CONNECTICUT",537454,177153,88020,527549,9668,2,235,423815,113639,203650,198958,197377,192685,423815,350498,104,5,122,350498,147,78,274,524,152,122,29,133,167,1988,701,17871,305,66,44,104,6,1,1688,2694,29594,440,928,7,2304,7897,225,85,47,2646,1214,234,0,0,5,1,216,0,1,3,6,0,3,0,136,113639,10,194,17,154,36,95,10861,11,44,116,13289,821,12443,0,99,30,70630,117,5,83,49,34,3238,27,395,492,147,99663,95381,4282,50696,47792,580,564,31,0,0,19680,29616,5678,23938,1339,1191,1266,1444,8990,13683,69,62,83,130,627,704,28,0,537454,265270,272184,69807,69155,109881,150415,127499,1646752,577333,140331,1.242e+08,3246599,4405064,26482150,535954,599718,1224107,53297,4881858,17545038,25508,71,1716,2937,7433,7538,5786,26,1,5128,89523,61684,20810,7029,95281278,38987187,86419579,1.611e+08,4.254e+08,7.746e+08,6064843,1875024,20113,4169706,6103,9806903,116,45150,4,750,290,133175,139,50962,0,0,2,350,5,1850,4,1240,184,63975,0,0,1,,7,3875,1,1300,1,250,44,26418,7,1380,1,225,0,0,14,6850,826,902,338735,13428109,1,1,9000,2
2,10,"ANDROSCOGGIN",35866,19769,0,35826,40,0,0,32236,3630,5957,5828,5808,5679,32236,30050,,,,,,,,,,,,,,30050,,1085,,,,,,,579,,76,,,,,66,,,,150,,,,,,,,,,,,,,,,3630,,,,,,,1281,,,1,604,4,89,0,,,1534,0,,,0,,99,,5,,6,7758,7529,229,4032,3723,3,0,0,0,0,880,1537,338,1199,104,105,99,183,424,616,0,0,0,1,2,3,0,0,35866,16847,19019,4652,4914,6607,9358,8430,161777,68172,15423,6558570,198653,202580,1587089,50021,20587,82648,7931,281308,1203806,3023,6,141,291,1017,1224,344,0,0,314,8502,3908,4045,549,8066929,2549723,9247520,14016816,13275063,23163709,392025,105634,23530,262861,112400,463328,28,9399,0,0,8,3420,1,400,,,,,,,,,16,4075,,,,,,,,,,,4,2100,1,250,,,,,9,3085,71,73,24329,497700,1,1,23001,1
