state,county,name,totpop,urb920,urb25,rur920,mtot,ftot,nwmtot,nwftot,nwnptot,nwfptot,nwmptot,fbwmtot,fbwftot,negmtot,negftot,othraces,t07tot,t713tot,tsch713,t1415tot,tsch1415,t1617tot,tsch1617,t1820tot,tsch1820,m21,nwnpm21,nwfmpm21,fbwm21,fbnawm21,fbfpwm21,fbalwm21,fbunwm21,negm21,othm21,f21,nwnpf21,nwfmpf21,fbwf21,fbnawf21,fbfpwf21,fbalwf21,fbunwf21,negf21,othf21,m1844,f1844,t10tot,tillit10,nw10tot,nwill10,fbw10tot,fbwill10,neg10tot,negill10,t1620tot,till1620,millit21,nwmil21,fbwmil21,negmil21,fillit21,nwfil21,fbwfil21,negfil21,dwell,families,pbwalban,pbwarmen,pbwatlis,pbwautrl,pbwaustr,pbwbelg,pbwbulg,pbwcanad,pbwcanfr,pbwcanot,pbwcenam,pbwcuba,pbwczech,pbwdenmk,pbwengla,pbwfinl,pbwfran,pbwgerm,pbwgreec,pbwholl,pbwhung,pbwirel,pbwitaly,pbwlithu,pbwluxem,pbwmexi,pbwnewfo,pbwnorw,pbwpacif,pbwpolan,pbwportu,pbwruman,pbwruss,pbwscot,pbwsoame,pbwspain,pbwswed,pbwswitz,pbwsyria,pbwwales,pbwwesin,pbwyugos,pbwotfor,mfgestab,mfgavear,mfgwages,mfgrentx,mfgrms,mfgout,mfgvalad,mfghp,cropval,cerealva,othgrval,hayval,vegaval,fruitval,otcropva,farms,farmmale,farmfem,farmnw,farmfbw,farmcol,farm02,farm39,farm1019,farm2049,farm5099,farm100,farm175,farm260,farm500,farm1000,areaac,acres,acimp,acwoods,acunioth,farmval,landval,farmbui,farmequi,livstock,farmown,acresown,acimpown,favalown,farmown1,farmown2,fownnw,fownfbw,fowncol,farmman,acresman,acimpman,favalman,farmten,acresten,acimpten,favalten,farmsten,farmscro,farmsct,farmcten,farmsren,farmoten,farmnwte,farmfbwt,farmcolt,area,density,urban20,rural20,totpop2,tothom,renthom,ownhom,ownfree,ownmort,ownunk,tenunk,wmtot,wftot,whtot,region1,region2,fips,level
1,10,"FAIRFIELD",320936,240751,206394,80185,161500,159436,111263,114846,103793,97281,25035,47487,42081,2565,2478,216,49789,41802,38559,9752,7428,9646,3025,14182,1405,99273,31636,21762,43860,16461,8228,16432,2739,1845,170,96492,32565,24030,38233,15628,313,18566,3726,1645,19,70983,69573,252025,14981,159078,382,88464,14245,4282,290,23828,267,6957,159,6538,203,7693,153,7456,79,55188,73533,,234,,,5367,73,,2553,596,1957,,,3817,899,6630,317,600,5149,1330,155,9756,10007,18084,987,,,,476,,6287,74,315,8522,1801,,528,3729,393,379,174,,346,586,1046,69656,81054671,15113794,1.700e+08,3.617e+08,1.917e+08,140657,4487409,583863,1978,1677042,1259761,820145,144620,3874,3490,384,2650,1209,15,24,619,566,1106,890,463,128,62,13,3,403840,225669,108393,65271,52005,56961906,31325393,19692259,2433730,3510524,3207,172308,82249,32975684,3039,168,2264,934,9,319,30633,15090,13755272,348,22728,11054,4286696,43,,0,303,,2,235,108,5,631,508.60001,240751,80185,320936,73533,45225,26165,8822,16758,585,2143,158750,156927,315677,1,1,9001,1
1,30,"HARTFORD",336027,223057,197352,112970,170437,165590,115255,117644,102228,105103,25568,51878,45060,3122,2863,205,52868,42645,41084,10453,8056,10292,3693,15389,1910,104766,30684,23903,47969,18693,7001,21711,564,2045,165,99614,31295,25830,40771,17514,318,22335,604,1705,13,76482,73451,264016,16419,163144,318,95748,15693,4924,384,25681,231,7502,134,7131,217,8611,118,8345,146,49526,73802,,524,,,2623,44,,5270,2575,2695,,,903,1003,4910,225,650,5178,796,69,744,12026,17663,4248,,,,234,,18173,160,418,10441,1801,,226,6892,315,140,64,,228,970,1002,70090,79865047,17528549,1.278e+08,2.997e+08,1.719e+08,132980,18779160,1095433,4748,2700884,1594044,610185,12773866,4700,4466,234,2962,1714,24,45,561,712,1419,1083,597,170,93,18,2,466560,293907,142506,88596,62805,61168792,26087552,26557593,3737235,4786412,4140,243363,119181,42403919,3712,428,2549,1572,19,159,29092,12715,5803376,401,21452,10610,4437850,118,,12,270,,1,286,111,4,729,460.89999,223057,112970,336027,73802,48721,24477,7530,16705,242,604,167133,162704,329837,1,1,9003,1
1,50,"LITCHFIELD",76262,28871,0,47391,38608,37654,28412,28986,31875,20190,5333,9826,8315,350,352,21,11796,10680,10004,2642,1957,2464,827,3232,333,23067,9355,4382,9093,3339,1015,4092,647,219,18,22381,10020,4638,7519,3187,53,3529,750,203,1,15037,14791,59658,3530,41206,197,17863,3302,568,30,5696,47,1750,102,1631,16,1705,61,1632,12,15058,17997,,11,,,768,20,,959,647,312,,,509,78,987,44,795,984,56,30,525,1875,4444,517,,,,48,,2444,15,53,1018,357,,41,829,363,232,29,,48,62,277,13095,13260275,2348308,28846518,54806945,25960427,32339,5406194,760870,1096,2824674,776368,352919,690267,3041,2846,195,2217,820,4,15,122,177,501,780,809,356,219,50,12,592000,376650,135616,127477,113557,27571473,10446455,10862270,1675574,4587174,2577,288857,108514,15750071,2419,158,1874,702,1,176,43480,12366,3485859,288,44313,14736,2072795,62,,6,217,,3,208,78,2,925,82.400002,28871,47391,76262,17997,8889,8664,4129,4272,263,444,38238,37301,75539,1,1,9005,1
1,70,"MIDDLESEX",47550,13638,0,33912,23265,24285,17516,18547,19051,13629,3383,5606,5550,137,187,7,6675,6122,5975,1568,1212,1514,595,2058,319,14335,5807,3177,5250,2245,595,2208,202,95,6,15278,6403,3620,5143,2269,41,2470,363,111,1,8691,9216,38125,1906,26809,91,11031,1805,278,10,3572,23,808,39,763,6,1067,36,1027,4,9302,10704,,5,,,267,6,,371,123,248,,,275,97,559,38,83,859,42,17,117,1186,2762,28,,,,73,,2054,4,23,528,182,,7,1423,65,14,13,,17,41,251,7830,7243178,2103196,19408106,34651037,15242931,16148,2165226,316171,1638,906081,373906,269774,297656,1412,1333,79,865,545,2,6,79,148,371,406,258,86,36,18,4,236160,123275,35357,58706,29212,10423098,4307619,4219427,544587,1351465,1300,109954,30709,6830142,1239,61,780,518,2,59,8874,3080,1447854,53,4447,1568,249050,6,,0,43,,4,41,12,0,369,128.89999,13638,33912,47550,10704,4925,5725,3353,2337,35,54,23122,24097,47219,1,1,9007,1
1,90,"NEW HAVEN",415214,340318,284119,74896,209597,205617,142752,147789,119253,136855,34433,62976,54378,3662,3418,239,64569,55325,52414,13536,10103,13274,4445,19453,2416,126321,34454,31071,58152,22479,8509,24592,2572,2458,186,122736,35772,35372,49368,21297,351,23798,3922,2206,18,91943,89453,325836,21514,203995,422,115799,20823,5827,240,32727,269,10025,156,9688,153,11149,192,10874,82,62884,91946,,195,,,2910,219,,5319,2828,2491,,,427,792,6427,332,831,7731,921,109,1754,15975,32696,5627,,,,371,,10971,372,272,14997,2239,,403,3563,485,293,298,,186,639,1601,93967,1.029e+08,16437269,2.117e+08,4.211e+08,2.095e+08,211692,4740594,517884,50538,1526095,1666614,975855,3608,2687,2478,209,1643,1042,2,20,269,332,737,719,407,133,54,14,2,385920,188167,75880,62059,50228,26752650,12997333,9273631,1649970,2831716,2356,158129,63346,18100525,2169,187,1428,927,1,103,16776,6725,2776288,228,13262,5809,1394151,28,,1,199,,0,138,90,0,603,688.59998,340318,74896,415214,91946,58125,31962,9673,21366,923,1859,205728,202167,407895,1,1,9009,1
1,110,"NEW LONDON",104611,55424,25688,49187,52514,52097,39409,39675,42540,27068,9476,12306,11655,698,727,141,14827,12873,12455,3315,2479,3315,1001,5063,554,32690,13392,7440,11315,4342,1490,5318,165,459,84,32528,13285,8147,10599,4714,75,5581,229,472,25,21705,21138,84214,4839,59264,427,23643,4318,1176,85,8378,76,2296,232,2022,37,2443,151,2243,47,20325,24549,,12,,,237,12,,3524,2354,1170,,,157,113,1856,166,117,1357,420,45,102,2976,3197,84,,,,186,,4292,532,61,2357,782,,18,628,49,163,40,,32,446,356,20144,22928005,3058213,50837924,97966199,47128275,63394,3184796,482749,3779,1659797,722824,315589,58,2747,2566,181,1825,901,21,12,175,225,497,713,717,243,134,22,9,421760,287576,79839,107629,100108,18201487,6771861,7376800,1272276,2780550,2329,229955,64527,10545080,2224,105,1514,802,13,110,23079,5799,1968856,308,34542,9513,1634725,18,,1,289,,0,226,76,6,659,158.7,55424,49187,104611,24549,14183,10181,5443,4677,61,185,51715,51330,103045,1,1,9011,1
1,130,"TOLLAND",27216,11109,0,16107,13494,13722,9998,10464,10550,7559,2353,3413,3194,79,63,5,3813,3778,3468,1027,619,931,254,1291,129,8044,2999,1868,3134,1407,484,1195,48,39,4,8332,3315,2049,2931,1417,42,1426,46,36,1,4887,5160,21793,1324,15142,552,6531,762,115,10,2222,111,484,143,339,2,587,163,420,4,5568,6659,,0,,,276,4,,572,461,111,,,388,27,443,12,99,1115,26,3,154,460,910,137,,,,12,,928,2,27,499,108,,5,113,162,40,14,,55,16,128,4545,4392505,2452972,15928103,27869594,11941491,12058,3359914,338304,3306,1109044,395523,224097,1289640,1977,1852,125,1227,746,4,7,134,160,420,591,430,146,72,12,5,258560,183532,53024,78411,52097,13393897,4970722,5651246,1015857,1756072,1794,153617,45017,8927748,1708,86,1072,719,3,79,20487,5159,1186270,104,9428,2848,507950,13,,3,87,,1,83,20,1,404,67.400002,11109,16107,27216,6659,3051,3508,1992,1489,27,100,13411,13658,27069,1,1,9013,1
1,150,"WINDHAM",52815,23171,0,29644,25920,26895,19341,20322,19916,13448,6299,6399,6389,165,180,19,7621,6860,6527,1765,1136,1820,450,2532,262,15720,5883,3926,5795,1860,724,3163,48,103,13,16497,6176,4445,5770,2159,34,3511,66,102,4,10174,10827,42130,2752,29254,538,12587,2183,271,29,4352,42,1368,254,1100,12,1331,260,1054,17,10554,12420,,20,,,251,24,,6063,5185,878,,,82,31,896,92,151,241,260,16,70,959,566,34,,,,14,,1474,41,33,357,217,,5,520,31,129,18,,78,115,211,13345,13009190,4406714,61428151,94611988,33183837,55423,2349351,362535,2148,1307950,429154,247166,398,2217,2063,154,1566,648,3,9,103,153,484,625,518,211,90,22,2,320000,220204,70471,95570,54163,12518314,4280180,5450486,918868,1868780,1963,186361,59475,7701961,1859,104,1363,597,3,65,14770,4405,1366830,189,19073,6591,661875,25,,7,157,,0,151,38,0,500,105.6,23171,29644,52815,12420,7845,4499,2846,1624,29,76,25740,26711,52451,1,1,9015,1
1,0,"CONNECTICUT",1380631,936339,713553,444292,695335,685296,483946,498273,449206,421133,111880,199891,176622,10778,10268,853,211958,180085,170486,44058,32990,43256,14290,63200,7328,424216,134210,97529,184568,70826,28046,78711,6985,7263,646,413858,138831,108131,160334,68185,1227,81216,9706,6480,82,299902,293609,1087797,67265,697892,2927,371666,63131,17441,1078,106456,1066,31190,1219,29212,646,34586,1134,33051,391,228405,311610,203,1001,210,102,12699,402,33,24631,14769,9862,,,6558,3040,22708,1226,3326,22614,3851,444,13222,45464,80322,11662,54,39,336,1414,36,46623,1200,1202,38719,7487,,1233,17697,1863,1390,650,310,990,2875,4872,292672,3.247e+08,63449015,6.859e+08,1.392e+09,7.065e+08,664691,44472644,4457809,69231,13711567,7218194,3815730,15200113,22655,21094,1561,14955,7625,75,138,2062,2473,5535,5807,4199,1473,760,169,39,3084800,1898980,701086,683719,514175,2.270e+08,1.012e+08,89083712,13248097,23472693,19666,1542544,573018,1.432e+08,18369,1297,12844,6771,51,1070,187191,65339,31790605,1919,169245,62729,15245092,313,,30,1565,,11,1368,533,18,4820,286.39999,936339,444292,1380631,311610,190964,115181,43788,69228,2165,5465,683837,674895,1358732,1,1,9000,2
2,10,"ANDROSCOGGIN",65796,48776,31791,17020,32076,33720,24895,25928,32065,13080,5678,7107,7740,48,52,26,8386,8296,7945,2164,1775,2415,863,3514,549,19892,10161,3529,6147,2614,886,2378,269,32,23,21129,10693,3820,6578,2874,26,3257,421,38,0,12903,14046,53871,1891,39307,476,14456,1407,83,4,5929,79,994,223,764,3,786,169,616,1,10704,15217,42,,,,43,,,11292,9521,1771,,,213,28,549,35,57,287,286,,,511,116,346,,,14,13,,206,,,331,221,,,43,,18,,,,196,279,14278,13706262,3633935,40013255,69362965,29349710,52712,2844372,87094,12581,1462790,735484,541681,4742,2235,2128,107,2118,117,0,4,107,148,346,709,643,187,87,4,0,293760,211954,90483,74571,46900,11464735,3963780,4157600,1202655,2140700,2100,199297,85369,7581710,2078,22,1996,104,0,44,4117,2077,283470,91,8540,3037,256200,16,,2,70,,3,82,9,0,459,143.3,48776,17020,65796,15217,8307,6711,4793,1850,68,199,32002,33668,65670,1,1,23001,1
