state,county,name,totpop,urb930,urb25,mtot,ftot,nwmtot,nwftot,nwnptot,nwfptot,nwmptot,fbwmtot,fbwftot,negmtot,negftot,othraces,m21,nwnpm21,nwfmpm21,fbwm21,fbnawm21,fbfpwm21,fbalwm21,fbunwm21,negm21,othm21,f21,nwnpf21,nwfmpf21,fbwf21,fbnawf21,fbfpwf21,fbalwf21,fbunwf21,negf21,othf21,t713tot,tsch713,t1415tot,tsch1415,t1617tot,tsch1617,t1820tot,tsch1820,t10tot,tillit10,nw10tot,nwill10,fbw10tot,fbwill10,neg10tot,negill10,m15,m15singl,m15marr,m15widow,m15divor,m15unkms,f15,f15singl,f15marr,f15widow,f15divor,f15unkms,urban30,urbfarm,rural30,rurfarm,rurnfarm,urban20,rural20,pbwarmen,pbwautrl,pbwaustr,pbwazore,pbwbelg,pbwbulg,pbwcanad,pbwcanfr,pbwcanot,pbwcsoam,pbwcuba,pbwczech,pbwdenmk,pbwengla,pbwfinl,pbwfran,pbwgerm,pbwgreec,pbwholl,pbwhung,pbweire,pbwitaly,pbwlatvi,pbwlithu,pbwluxem,pbwmexi,pbwnewfo,pbwulst,pbwnorw,pbwpales,pbwpolan,pbwportu,pbwruman,pbwruss,pbwscot,pbwspain,pbwswed,pbwswitz,pbwturky,pbwwales,pbwwesin,pbwwsino,pbwyugos,pbwotfor,pbwicel,mfgestab,mfgavear,mfghp,mfgwages,mfgrms,mfgrms2,mfgfuel,mfgout,mfgvalad,gainwrk,totunemp,munemp,funemp,tolayoff,mlayoff,flayoff,wholest,wholnsal,wholtemp,wholmemp,wholfemp,wholwage,wholstoc,totpop2,retail,retprop,rettemp,retsales,retstock,retwages,cropval,cerealva,othgrval,hayval,vegaval,fruitval,otcropva,garden,forest,farms,farmwh,farmcol,areaac,acres,fwhac,fcolac,farmsize,accrop,acharves,acfailur,acidle,acpastur,acwoods,acoth,farmfown,farmpown,farmman,farmten,farmcten,farmoten,acfown,acpown,acman,acten,accten,acoten,hacfown,hacpown,hacman,hacten,haccten,hacoten,farm02,farm39,farm1019,farm2049,farm5099,farm100,farm175,farm260,farm500,farm1000,farm5000,landval,farmbui,fdwellva,farmsrep,farmequi,favalwh,favalcol,favafown,favapown,favalman,favalten,favacten,favaoten,eqvafown,eqvapown,eqvalman,eqvalten,eqvacten,eqvaoten,area,density,unemptot,unempwm,unempwf,unempnem,unempnef,emergtot,emergwm,emergwf,emergnem,emergnef,punempto,punempwm,punempwf,punempnm,punempnf,unfartot,unnfatot,ununktot,emfartot,emnfatot,emunktot,pufartot,punfatot,puunktot,wmtot,wftot,whtot,region1,region2,fips,level
1,10,"FAIRFIELD",386702,286648,229081,192607,194095,139425,143712,128037,117952,37148,48956,46170,4010,4183,246,118332,35933,33027,46502,24031,6647,15398,426,2671,199,120603,38249,35964,43636,20248,1619,21197,572,2732,22,52500,51645,14263,12254,14382,6546,20682,3550,318739,12220,217736,530,94053,11394,6712,270,139018,47972,84289,5738,904,115,142002,42308,83622,14817,1157,98,286648,1195,100054,10868,89186,240751,80185,,,1816,,,,4502,1837,2665,,,7444,961,6898,,638,6394,1088,,7439,7160,20250,,1416,,,,1889,704,,8643,608,,4843,3178,,4455,454,,,,,,4346,,766,58829,191870,79238389,1.883e+08,1.815e+08,6865930,3.872e+08,1.989e+08,165587,10815,9133,1682,3011,2344,667,243,1.084e+08,2915,2432,483,6071286,9996863,386702,5420,4769,14582,198710,25729,22696,1596792,50934,4459,718318,328702,277921,25323,191135,126443,2081,2075,6,403840,142404,142217,187,684,48590,40954,977,6659,53736,26440,13638,1678,144,112,147,94,53,95002,16854,15350,15198,7591,7607,27628,4849,4681,3796,2065,1731,52,218,289,565,534,270,102,41,6,4,0,40472265,26828239,16122227,1902,1628518,67140504,160000,47621754,3030220,10786155,5862375,1790100,4072275,1159027,170015,145742,153734,64017,89717,631,612.8,17429,11811,4909,456,226,4286,3509,494,256,21,10592,8096,2171,237,64,371,16897,161,50,4186,50,242,10257,93,188381,189882,378263,1,1,9001,1
1,30,"HARTFORD",421097,307842,260651,208947,212150,149402,156282,131007,134331,40346,55275,51491,4163,4345,139,127203,35845,36759,52007,25597,7386,17990,1034,2511,81,129875,37952,41397,47978,21256,1987,23372,1363,2537,11,58058,57424,15980,14394,15433,7827,22203,4043,343893,16390,231775,594,105368,15339,6642,439,149192,52552,89363,6090,874,313,153304,48707,88687,14571,1162,177,307842,1662,113255,19009,94246,223057,112970,,,1894,,,,12137,7890,4247,,,1497,1119,4923,,537,5549,793,,513,8454,21153,,5133,,,,2890,273,,17634,439,,7986,2631,,7409,280,,,,,,3522,,674,65482,206930,89977178,1.228e+08,1.156e+08,7145404,3.515e+08,2.287e+08,180916,10331,8749,1582,3622,2891,731,383,1.537e+08,8798,5637,3161,10047224,20802037,421097,4383,3716,16534,199211,25619,24599,14624566,247743,1878,1403561,1330945,490020,10987072,163347,242301,3743,3733,10,466560,249615,249347,268,667,91631,78513,5565,7553,88152,49411,20421,2959,415,133,236,163,73,175116,37535,22326,14638,9561,5077,51548,14510,7664,4791,3212,1579,84,386,511,1092,909,507,155,75,21,3,0,26189942,28767340,14102620,3560,3274740,54886982,70300,35362729,9418089,6148062,4028402,3163474,864928,1959253,782153,349657,183677,137732,45945,729,577.6,15976,10652,4669,437,182,4299,3314,652,284,39,9409,7075,2013,213,86,669,15175,132,118,4129,52,485,8832,92,204677,207773,412450,1,1,9003,1
1,50,"LITCHFIELD",82556,33923,26040,42081,40475,32328,32038,34088,22939,7339,9343,8077,382,357,31,25618,9920,6570,8852,4271,1126,3084,371,252,24,24612,10028,6738,7628,3400,277,3520,431,216,2,11669,11323,3394,2760,3212,1425,4414,702,68078,2071,50200,125,17237,1922,610,22,30354,10985,17598,1550,159,62,29162,8567,17348,3071,146,30,33923,568,48633,10087,38546,28871,47391,,,275,,,,1564,1108,456,,,839,89,910,,599,1103,27,,303,1187,4386,,770,,,,195,86,,2484,13,,539,354,,773,337,,,,,,587,,126,11986,35338,14833623,28365781,26973265,1392516,62592287,34226506,34048,1476,1282,194,249,189,60,37,5649124,168,135,33,185553,331016,82556,1265,1261,2473,35395,5571,3441,2556784,94781,138,1551888,301674,216117,278481,113705,302783,2174,2171,3,592000,279582,279248,334,1286,79942,71341,1057,7544,123231,59531,16878,1766,141,90,177,135,42,200186,29146,22681,27569,21581,5988,51989,7444,4369,7539,5760,1779,27,82,105,310,551,618,279,155,37,10,0,12029115,13858425,8321443,2047,1773315,25850540,37000,18748791,2281715,2702154,2154880,1545880,609000,1245964,237511,130664,159176,120944,38232,925,89.2,2614,1832,756,17,6,695,614,68,13,0,1671,1448,198,18,4,223,2351,40,57,627,11,153,1492,26,41671,40115,81786,1,1,9005,1
1,70,"MIDDLESEX",51388,24554,0,25387,26001,19891,20524,20767,15183,4465,5260,5163,228,312,10,15827,6039,4522,5106,2693,477,1776,160,152,8,16437,6454,4808,5013,2454,130,2181,248,161,1,6826,6731,1937,1709,1994,985,2620,458,42821,1979,32015,175,10363,1775,433,28,18534,7014,10370,1015,121,14,19287,6302,10660,2161,156,8,24554,901,26834,4995,21839,13638,33912,,,167,,,,566,212,354,,,427,96,501,,72,774,56,,78,602,2608,,78,,,,163,89,,2084,19,,375,136,,1249,53,,,,,,230,,131,6770,19933,7909561,16439746,15640038,799708,39784592,23344846,19901,630,557,73,272,192,80,26,4068156,224,151,73,305672,471184,51388,744,696,1718,22650,3253,2453,1239554,45344,1646,470630,207240,117588,324519,72587,173343,1262,1258,4,236160,103092,103051,41,817,24595,21381,510,2704,47534,24634,6329,1096,97,28,41,29,12,79602,12077,8204,3209,2051,1158,15595,3625,1714,447,290,157,27,100,141,293,367,210,78,33,10,3,0,4289390,6100070,3541892,1241,724588,10377560,11900,7319840,1604454,1229366,235800,154300,81500,517625,136803,54465,15695,11370,4325,369,139.3,1944,1324,592,15,13,705,614,77,14,0,1315,984,299,23,9,235,1685,24,75,619,11,157,1125,33,25151,25687,50838,1,1,9007,1
1,90,"NEW HAVEN",463449,383017,326846,230771,232678,168323,174627,142749,155441,44760,57533,53423,4765,4581,197,139630,38153,43523,54780,28312,6604,18631,1233,3046,128,142596,40780,48669,50325,23569,1623,23549,1584,2800,22,65609,64132,18032,15429,17876,8686,25136,4839,381717,19015,264276,618,109813,18076,7456,303,165282,60061,96862,7284,853,222,168850,54087,96179,17311,1072,201,383017,1656,80432,9178,71254,340318,74896,,,1617,,,,8222,5348,2874,,,918,707,5968,,720,7320,826,,1234,11461,33926,,5348,,,,1279,391,,11407,613,,9620,2714,,3340,400,,,,,,2925,,1042,77318,314625,1.016e+08,2.296e+08,2.172e+08,12415456,4.751e+08,2.455e+08,192932,11231,9522,1709,2060,1631,429,564,2.255e+08,5374,4504,870,10148475,14491331,463449,7729,6842,18132,232587,32517,26584,3017586,65652,61159,993929,1110021,585733,508,200584,202664,2155,2153,2,385920,149951,149901,50,696,52052,44059,1226,6767,58000,28156,11743,1793,212,48,102,87,15,111937,23265,9636,5113,4486,627,32149,8150,2169,1591,1430,161,71,204,276,581,539,328,89,52,13,2,0,14982490,13196449,7891636,2032,1940206,28162939,16000,20368046,4634453,2006540,1169900,1018800,151100,1397462,341111,126255,75378,61623,13755,603,768.6,20439,13799,5936,482,198,5511,4489,696,291,35,12121,9068,2678,284,78,483,19727,229,107,5326,78,242,11721,158,225856,228050,453906,1,1,9009,1
1,110,"NEW LONDON",118966,61219,29640,60331,58635,46740,45927,48929,31479,12259,12613,11882,794,792,218,37803,14743,10398,12002,5649,1446,4808,99,496,164,36796,14078,10978,11222,5075,330,5700,117,498,20,15683,15416,4216,3512,4092,1824,6068,1037,98055,4306,72326,502,24263,3728,1276,63,43901,16154,25064,2319,351,13,42869,12596,24890,4981,390,12,61219,237,57747,10784,46963,55424,49187,,,394,,,,4342,3174,1168,,,212,104,1778,,126,1241,418,,110,1780,3423,,272,,,,444,214,,4543,579,,1893,763,,626,64,,,,,,1169,,224,16578,72257,19634218,40360212,38096059,2264153,86336899,45976687,48512,2186,1827,359,1366,962,404,85,19233805,651,579,72,1120710,2038791,118966,1538,1428,3671,52084,7513,5009,1704120,69994,196,947860,364341,168232,854,152643,244101,2327,2324,3,421760,249238,249093,145,1071,53677,46012,744,6921,120616,52772,22173,1967,121,76,163,133,30,184775,20680,23542,20241,14217,6024,36492,4386,2167,2967,2523,444,43,162,190,380,558,652,200,107,25,10,0,8246104,9778331,5827623,2289,1221691,18016935,7500,13228297,1536450,2117953,1141735,881405,260330,939826,123075,96017,62773,55478,7295,659,180.5,6666,4463,2107,52,26,1798,1495,230,55,6,4129,2809,1271,22,16,569,6005,92,134,1636,28,293,3790,46,59353,57809,117162,1,1,9011,1
1,130,"TOLLAND",28659,10937,0,14540,14119,11322,11076,10960,8407,3031,3133,2958,83,84,3,8788,3048,2667,3023,1648,388,966,21,49,1,8830,3205,2723,2860,1357,101,1373,29,41,1,4005,3896,1164,918,1127,461,1505,225,23762,1127,17570,384,6051,729,139,14,10489,3794,6063,537,89,6,10364,3216,6048,1024,70,6,10937,145,17722,7489,10233,11109,16107,,,102,,,,607,452,155,,,680,37,354,,73,864,11,,108,190,879,,143,,,,128,20,,1087,3,,293,87,,132,165,,,,,,128,,59,4151,11456,4379268,10742159,10338640,403519,18862471,8120312,12122,523,435,88,1115,778,337,7,886647,29,28,1,38121,46043,28659,367,363,476,7492,1278,642,2287779,47884,3180,569433,409857,88017,1086825,82583,195009,1553,1550,3,258560,140127,140010,117,902,34125,29143,873,4109,68488,28601,8913,1372,74,27,80,67,13,117127,9437,6096,7467,5148,2319,23426,2828,1524,1365,1059,306,17,76,118,309,508,347,120,51,6,1,0,4358695,6856625,3838290,1532,905218,11209820,5500,8937468,1211102,531900,534850,397650,137200,690444,111498,61476,41800,37225,4575,404,70.9,1211,874,336,1,0,252,233,19,0,0,1130,857,272,1,0,331,865,15,50,195,7,209,902,19,14455,14034,28489,1,1,9013,1
1,150,"WINDHAM",54086,23630,0,26639,27447,20741,21444,21027,13812,7346,5733,5861,148,127,32,16049,5622,5034,5299,2302,727,2194,76,78,16,16783,5925,5392,5375,2130,172,3004,69,82,9,7700,7604,2139,1646,2114,725,2821,371,44409,2766,32724,573,11438,2173,217,18,19019,6467,11268,1145,131,8,19801,6140,11290,2215,149,7,23630,159,30456,7837,22619,23171,29644,,,41,,,,5868,5549,319,,,203,16,730,,124,220,118,,51,494,498,,87,,,,102,29,,1385,71,,220,150,,469,21,,,,,,697,,107,10747,56830,11256429,29073965,28078566,995399,50496777,21422812,23274,1038,835,203,884,565,319,24,3132839,113,99,14,181480,261226,54086,756,719,1348,20381,3420,1772,1152881,58875,335,694058,225148,88448,87,85930,201766,1900,1894,6,320000,188270,187496,774,991,45976,40744,590,4642,91392,38455,12447,1640,111,27,122,90,32,156488,13860,6014,11908,8847,3061,33287,3355,1437,2665,2011,654,22,106,157,363,526,464,171,73,14,4,0,4171351,7288074,4119362,1868,902417,11436925,22500,9234476,819402,774137,631410,423200,208210,727594,77349,53259,44215,32428,11787,500,108.2,3751,2338,1402,6,2,847,725,115,4,1,2264,1608,649,5,1,460,3237,54,142,698,7,255,1978,31,26474,27305,53779,1,1,9015,1
1,0,"CONNECTICUT",1606903,1131770,872258,801303,805600,588172,605630,537564,499544,156694,197846,185025,14573,14781,876,489250,149303,142500,187571,94503,24801,64847,3420,9255,621,496532,156671,156669,174037,79489,6239,83896,4413,9067,88,222050,218171,61125,52622,60230,28479,85449,15225,1321474,59874,918622,3501,378586,55136,23485,1157,575789,204999,340877,25678,3482,753,585639,181923,338724,60151,4302,539,1131770,6523,475133,80247,394886,936339,444292,774,118,6306,,425,50,37808,25570,12238,623,,12220,3129,22062,1631,2889,23465,3337,548,9836,31328,87123,339,13247,26,31,758,7090,1806,1679,49267,2345,1178,25769,10013,917,18453,1774,766,581,338,,882,13604,7,3129,251861,909239,3.289e+08,6.657e+08,6.334e+08,32282085,1.472e+09,8.062e+08,677292,38230,32340,5890,12579,9552,3027,1369,5.206e+08,18272,13565,4707,28098521,48438491,1606903,22202,19794,58934,768510,104900,87196,28180062,681207,72991,7349677,4277928,2032076,12703669,1062514,1688410,17195,17158,37,3084800,1502279,1500363,1916,874,430588,372147,11542,46899,651149,308000,112542,14271,1315,541,1068,798,270,1120233,162854,113849,105343,73482,31861,272114,49147,25725,25161,18350,6811,343,1334,1787,3893,4492,3396,1194,587,132,37,0,1.147e+08,1.127e+08,63765093,16471,12370693,2.271e+08,330700,1.608e+08,24535885,26296267,15759352,9374809,6384543,8637195,1979515,1017535,736448,520817,215631,4820,333.4,70030,47093,20707,1466,653,18393,14993,2351,917,102,42631,31945,9551,803,258,3341,65942,747,733,17416,244,2036,40097,498,786018,790655,1576673,1,1,9000,2
2,10,"ANDROSCOGGIN",71214,53519,34948,34485,36729,27294,28887,33492,13932,8757,7143,7808,20,25,37,21081,9562,5036,6444,3234,612,2422,176,17,22,23167,10363,5753,7028,2856,165,3642,365,20,3,9422,9290,2594,2445,2469,1312,3574,699,58076,1976,43291,419,14713,1543,43,1,24603,7770,15117,1426,272,18,26967,8267,15283,3029,368,20,53519,2794,17695,6643,11052,48776,17020,,,147,,,,12185,10551,1634,,,70,16,433,65,57,263,146,,,307,120,,290,,,3,36,13,18,235,,,223,182,,38,,9,2,,,,93,,178,12726,58868,12146138,26233372,25358080,875292,51798033,25564661,30181,1479,1172,307,1421,840,581,70,14186825,602,493,109,951460,1216526,71214,958,941,2346,30871,5003,3128,1502721,19136,9718,587901,477606,308764,3027,96569,350014,2322,2321,1,293760,215710,215703,7,929,66991,60680,284,6027,92118,46547,10054,2120,61,26,115,93,22,185865,11203,8561,10081,7808,2273,54223,2695,1241,2521,2078,443,5,172,186,424,687,576,173,85,10,3,1,4028891,5945446,3555195,2252,1209827,9972937,1400,8808187,416250,384150,365750,294750,71000,1067917,72922,28621,40367,33967,6400,459,155.1,6171,3600,2565,1,1,564,497,66,1,0,4325,2876,1446,1,1,417,5666,88,35,516,13,300,3959,66,34437,36695,71132,1,1,23001,1
