state,county,name,totpop,fbtot,pbuk,pbeire,pbnorw,pbswed,pbdenmk,pbholl,pbswitz,pbfran,pbgerm,pbpolan,pbczech,pbaustr,pbhung,pbyugos,pbruss,pblithu,pbfinl,pbruman,pbgreec,pbitaly,pbportu,pboteur,pbasia,pbcanada,pbmexi,pbotham,pbotfor,pbforunk,pctrurnf,pctnbsta,pcthom58,pctprsch,pctsch14,pctnohh,pctfch05,ceb1544,mtot,wmtot,negmtot,indmtot,japmtot,chimtot,filmtot,othmtot,ftot,wftot,negftot,indftot,japftot,chiftot,filftot,othftot,nonwm21,nonwf21,whtot,region1,region2,statefip,fips,level
1,10,"FAIRFIELD",653589,251032,24768,18432,2045,7000,1973,1009,1485,2225,18083,22628,15067,8235,16824,1622,12086,3121,1001,864,2797,58195,2923,3106,3738,16235,245,3169,848,1308,12.8,58.1,19.4,21.6,90.3,2.5,30,155,318055,301603,16002,90,85,146,58,71,335534,317524,17612,101,62,111,34,90,9355,10727,619127,1,1,9,9001,1
1,30,"HARTFORD",689555,283207,21494,21599,1062,11285,2030,568,893,1714,16925,43942,3323,7083,2434,542,18092,10044,783,866,2522,57262,2418,2240,2794,45174,101,4092,646,1279,16.1,67,20.8,13.7,90.7,2,31,156.9,338108,321767,15931,74,66,103,52,115,351447,335271,15784,87,95,86,48,76,9129,8937,657038,1,1,9,9003,1
1,50,"LITCHFIELD",119856,43372,4091,2693,329,1622,200,108,774,1208,3074,4794,1608,1126,806,79,947,1813,138,78,101,10761,93,225,569,5572,12,284,79,188,42.1,73.3,17,14.1,90.5,1.7,29.299999,166.4,58924,58469,401,20,7,6,13,8,60932,60441,444,22,8,7,2,8,300,286,118910,1,1,9,9005,1
1,70,"MIDDLESEX",88865,30972,2575,1842,185,2093,195,48,139,197,2477,5204,825,751,253,55,1261,287,129,72,198,8021,93,194,193,3129,41,244,62,209,48.6,69.5,21.6,10.4,89.8,2,30.299999,158.1,43957,43014,905,8,13,6,3,8,44908,43910,960,9,15,2,2,10,521,517,86924,1,1,9,9007,1
1,90,"NEW HAVEN",660315,266858,19122,24789,1015,5631,1511,436,971,1888,17334,26130,2377,5973,4001,403,17112,9225,777,507,1818,89992,2761,2179,2748,24187,154,1979,745,1093,12.3,73.6,19.3,18.5,88.3,2,29.799999,155.6,323493,306411,16469,114,106,182,40,171,336822,318710,17653,105,109,111,39,95,8955,9993,625121,1,1,9,9009,1
1,110,"NEW LONDON",185745,58684,6155,4178,465,1175,198,161,225,420,3445,9386,468,1231,340,120,3992,546,556,117,830,8904,1378,453,1178,11441,80,625,339,278,40.6,60.5,26,12,85.6,1.4,33.599998,168.7,93656,90809,2331,92,8,48,288,80,92089,89495,2235,105,34,38,132,50,1633,1386,180304,1,1,9,9011,1
1,130,"TOLLAND",68737,21388,2291,913,131,527,206,32,321,170,2077,2852,1005,694,419,35,793,665,59,45,107,2662,98,129,266,4611,4,115,66,95,63.9,65.8,21.9,10.2,82.9,1.8,35.200001,146.6,34615,34343,233,6,12,11,1,9,34122,33879,210,3,14,8,2,6,141,120,68222,1,1,9,9013,1
1,150,"WINDHAM",68572,26630,1788,963,84,698,111,38,37,150,1029,2727,383,355,290,141,977,334,1013,45,316,1349,166,935,300,12028,8,122,38,205,52.6,68.8,19.1,31.2,83.9,1.8,28.700001,165.2,33421,33237,122,52,6,0,2,2,35151,34933,157,35,13,0,10,3,106,122,68170,1,1,9,9015,1
1,0,"CONNECTICUT",2535234,982143,82284,75409,5316,30031,6424,2400,4845,7972,64444,117663,25056,25448,25367,2997,55260,26035,4456,2594,8689,237146,9930,9461,11786,122377,645,10630,2823,4655,20.7,66.3,20.2,17.2,89.2,2.1,30.5,157.3,1244229,1189653,52394,456,303,502,457,464,1291005,1234163,55055,467,350,363,269,338,30140,32088,2423816,1,1,9,9000,2
2,10,"ANDROSCOGGIN",86312,31049,1158,623,52,112,33,52,16,172,475,373,285,83,77,16,452,408,126,4,206,464,31,80,97,25456,12,38,25,123,15.4,87,21.3,42.4,88,2.2,29.799999,171,41233,41170,49,6,1,7,0,0,45079,45010,46,10,4,5,2,2,29,38,86180,1,1,23,23001,1
