state,county,name,totpop,wpop,negtot,othraces,mtot,m04,m56,m79,m1013,m14,m15,m1617,m1819,m20,m21,m2224,m2534,m3544,m4554,m5559,m6061,m6264,m6574,m75,ftot,f04,f56,f79,f1013,f14,f15,f1617,f1819,f20,f21,f2224,f2534,f3544,f4554,f5559,f6061,f6264,f6574,f75,negmtot,negm04,negm514,negm1524,negm2534,negm3544,negm4554,negm5564,negm65,negftot,negf04,negf514,negf1524,negf2534,negf3544,negf4554,negf5564,negf65,totpop2,hhpop,hhheads,hhprim,hhmhead,hhfhead,hhfspous,hhothrel,hhunrel,group,inmates,groupoth,negtot2,hhneg,hhneghea,hhnegpri,hhnegmhe,hhnegfhe,hhnegfsp,hhnegotr,hhnegunr,groupneg,inmatneg,grounego,region1,region2,statefip,fips,level
1,10,"FAIRFIELD",792814,732304,56408,4102,381603,32152,15536,24082,33345,8129,8059,15054,11245,5006,4485,13869,44111,48524,51181,21292,7003,9010,18823,10697,411211,30932,15026,23313,32321,7773,7446,14651,11814,5736,5411,16418,49023,51666,54853,22422,7681,10120,26181,18424,26161,3344,6917,4332,3977,2943,2262,1427,959,30247,3513,7143,5187,4901,3450,2783,1848,1422,792814,778212,243806,41569,181747,20490,176172,346686,11548,14602,6556,8046,56408,55207,15685,3162,8879,3644,8260,29100,2162,1201,582,619,1,1,9,9001,1
1,30,"HARTFORD",816737,758086,54645,4006,394728,34432,15927,24454,33771,8118,7984,15238,11862,5168,5129,17665,50392,47027,50696,20465,6991,8801,19346,11262,422009,33550,15350,23335,32498,8082,7688,14579,13353,6771,6786,20770,51528,49512,53062,21459,7759,10232,27049,18646,26069,3507,7105,4427,3790,2845,2281,1248,866,28576,3442,6717,5582,4574,3227,2385,1380,1269,816737,799712,255437,48242,184924,22271,179067,352227,12981,17025,8116,8909,54645,53442,15533,3408,8322,3803,7659,28526,1724,1203,656,547,1,1,9,9003,1
1,50,"LITCHFIELD",144091,142649,1126,316,70176,6172,2833,4302,5993,1491,1488,2784,1975,753,719,2631,8513,7935,8618,3960,1398,1819,4289,2503,73915,5896,2778,4196,5636,1423,1403,2602,1908,884,873,3038,8688,8098,9366,4243,1536,2080,5358,3909,592,59,137,97,69,76,57,52,45,534,62,98,87,62,71,43,68,43,144091,142582,45550,8085,34330,3135,33245,62151,1636,1509,878,631,1126,1075,306,62,214,30,193,512,64,51,29,22,1,1,9,9005,1
1,70,"MIDDLESEX",114816,111102,3327,387,56465,4952,2305,3506,4709,1133,1116,2017,1883,825,840,2404,7483,6622,6733,2825,1036,1304,3033,1739,58351,4845,2209,3362,4553,1029,1083,1953,1508,785,799,2741,7527,6593,7239,2887,1104,1408,3829,2897,1630,203,367,358,271,169,123,71,68,1697,202,433,369,262,167,117,72,75,114816,109867,34758,5830,26409,2519,25706,48076,1327,4949,3079,1870,3327,2952,819,178,480,161,453,1592,88,375,276,99,1,1,9,9007,1
1,90,"NEW HAVEN",744948,684743,56630,3575,359204,31329,14023,21708,29890,7122,7156,13528,12637,5528,5240,16988,44185,40199,45636,18725,6420,8196,19212,11482,385744,30522,13707,20665,28656,7213,6771,13060,11985,6097,6060,18958,46105,43485,49626,20698,7375,9759,26603,18399,26538,3665,7537,4888,3434,2745,2140,1188,941,30092,3917,7436,5544,4565,3386,2498,1460,1286,744948,725581,231754,42156,168111,21487,162404,321253,10170,19367,8467,10900,56630,55416,15613,3096,8481,4036,7948,30421,1434,1214,742,472,1,1,9,9009,1
1,110,"NEW LONDON",230348,221073,7390,1885,115752,10946,4976,7329,9386,2192,2186,3964,4027,2274,2470,7584,16524,12821,12164,4783,1828,2179,5119,3000,114596,10492,4623,7098,8922,2142,2010,3880,3890,2047,2043,5826,14816,12645,12821,5094,1939,2479,6794,5035,3644,416,979,734,465,462,310,160,118,3746,431,939,744,510,454,348,158,162,230348,214257,67618,11833,49180,6605,47778,96592,2269,16091,3736,12355,7390,6793,1857,329,1128,400,1042,3794,100,597,298,299,1,1,9,9011,1
1,130,"TOLLAND",103440,101786,1160,494,51832,4786,2274,3278,4233,938,913,1744,2730,1626,1295,2863,8103,6086,5082,1891,636,774,1685,895,51608,4740,2007,3172,4147,1012,888,1666,2896,1569,1444,2947,7508,5783,4928,1870,673,826,2071,1461,776,34,75,234,241,112,50,15,15,384,42,63,134,64,35,26,7,13,103440,93166,27902,3880,22558,1464,22027,41798,1439,10274,2783,7491,1160,523,158,40,109,9,103,223,39,637,487,150,1,1,9,9013,1
1,150,"WINDHAM",84515,83715,491,309,40727,3805,1779,2645,3481,829,844,1522,1228,480,552,1802,5145,4419,4639,2144,746,958,2356,1353,43788,3711,1632,2536,3215,829,822,1421,1592,765,785,2045,5114,4532,5047,2271,825,1188,3062,2396,239,20,41,71,33,24,27,15,8,252,24,42,73,21,30,21,21,20,84515,82491,26444,4932,19437,2075,18773,36039,1235,2024,759,1265,491,424,137,37,81,19,77,188,22,67,9,58,1,1,9,9015,1
1,0,"CONNECTICUT",3031709,2835458,181177,15074,1470487,128574,59653,91304,124808,29952,29746,55851,47587,21660,20730,65806,184456,173633,184749,76085,26058,33041,73863,42931,1561222,124688,57332,87677,119948,29503,28111,53812,48946,24654,24201,72743,190309,182314,196942,80944,28892,38092,100947,71167,85649,11248,23158,15141,12280,9376,7250,4176,3020,95528,11633,22871,17720,14959,10820,8221,5014,4290,3031709,2945868,933269,166527,686696,80046,665172,1304822,42605,85841,34374,51467,181177,175832,50108,10312,27694,12102,25735,94356,5633,5345,3079,2266,1,1,9,9000,2
2,10,"ANDROSCOGGIN",91279,90959,120,200,43157,4061,1773,2844,3684,811,930,1689,1515,629,543,1854,4865,4748,4880,2169,799,1084,2751,1528,48122,4103,1910,2698,3566,893,887,1722,1730,896,789,1975,5081,5157,5408,2464,1004,1276,3939,2624,64,6,9,16,17,8,3,2,3,56,5,13,17,9,3,3,1,5,91279,88639,28539,5875,20121,2543,19513,39204,1383,2640,773,1867,120,100,38,12,20,6,13,45,4,20,0,20,1,1,23,23001,1
