state,county,name,level,fips,statefip,level2,msacode,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var22a,var23,var24,var25,var25a,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var60a,var61,var62,var63,var64,var65,var66,var67,var68,var68a,var69,var69a,var70,var71,var72,var73,var74,var74a,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94,var95,var96,var97,var98,var99,var100,var101,var102,var103,var104,var105,var106,var107,var108,var109,var110,var111,var112,var113,var114,var115,var116,var117,var118,var119,var120,var121,var122,var123,var124,var125,var126,var127,var128,var129,var130,var131,var132,var133,var134,var135,var136,var137,var138,var139,var140,var141,var142,var143,var144,var145,var146,var147,var148,var149,var150,var151,var152,var153,var154,var155,var156,var157,var158,var159,var160,var161,var162,var163,var164,var165,var166,var167,var168,var169,var170,var171,var172,var173,var174,var175,var176,var177,var178,var179,var180,var181,var182,var183,var184,var185,var186,var187,var188,var189,var190,var191,var192,var193,var194,var195,var196,var197,var198,var199,var200,var201,var202,var203,var203a,flag3,flag11,flag12,flag13,flag14,flag15,flag16,flag17,flag18,flag19,flag20,flag21,flag22,flag39,flag40,flag41,flag42,flag43,flag44,flag50,flag51,flag52,flag53,flag54,flag55,flag56,flag57,flag61,flag62,flag64,flag71,flag75,flag76,flag77,flag78,flag80,flag86,flag91,flag92,flag98,flag99,flag100,flag101,flag102,flag103,flag106,flag109,flag110,flag111,flag112,flag113,flag114,flag115,flag116,flag117,flag118,flag119,flag120,flag121,flag122,flag123,flag124,flag125,flag126,flag127,flag128,flag131,flag132,flag133,flag134,flag135,flag136,flag137,flag138,flag139,flag140,flag141,flag142,flag143,flag144,flag145,flag146,flag147,flag149,flag150,flag151,flag153,flag154,flag155,flag157,flag158,flag159,flag160,flag161,flag162,flag163,flag165,flag166,flag167,flag168,flag169,flag170,flag171,flag172,flag173,flag174,flag176,flag182,flag183,flag184,flag185,flag186,flag187,flag188,flag189,flag190,flag191,flag192,flag193,flag194,flag195,flag196,flag197,flag198,flag199,flag202,flag203,flag203a
1,10,"Fairfield, CT",1,9001,9,4,1163,632,821000,40,1299.1,807143,13900,1.7,64400,43500,-7000,89.45,10.55,91.9,6.5,14.1,14.1,15.8,15.2,11.5,10.6,7.4,4.8,816707,.11,.74,5.59,807143,295100,5.2,2.73,280597,11,20.2,10541,9.3,12.9,7011,120,8.6,11.4,7151,8.8,2663,3.3,2136,260,13,3610,439,56,5461,119671,145.7,59838,6428,41257,3475,5145,113090,146984,73,25.9,502114,410.1,506,17708,9,10408,15425,22961,7.5,794959,5.9,215280,295065,15.9,280597,67.3,57.6,280597,92300,4790,27317,9.3,468666,1.7,17298,3.7,25299,853,394117,3.8,131549,66251,26597,96158,9550,24232,16694.9,46.4,20456,1353,10991.4,42.7,38,57.2,8.7,6.4,22.3,7.3,10.6,.1,9.7,9.4,275,65.1,1.5,47.6,79.3,18,-5.7,65,,9,491.4,8917,9,32542,49.7,50.3,38.2,8,4180.2,8.2,1892,12.8,132.5,13,3153.8,62.4,123.3,1096.6,17574,5030.8,8900.8,301.6,927839,247653,62.7,5,16.5,375331,142571,1684,18377.9,22556,514.1,7068,4627.2,52.9,5704,5154,4526.8,585,1158,369,474,55886,537.5,6338,2412.8,56.7,409.8,163.6,53636,864.5,14935,24,994.6,9.6,3664,-.7,4463,1348,2636,184,273,881.5,200.2,75.9,582.9,719,710,880.1,46.3,1085,46.6,2.5,6.2,2.8,4.8,543.1,669,27535,339.4,3974,118479,391179,65.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,30,"Hartford, CT",1,9003,9,4,3283,739,825200,39,1116.6,807766,17400,2.2,66200,43900,-4900,89.67,10.33,92.2,6.5,12.9,16.5,16.8,13.3,10.3,10.7,7.7,5.3,817583,.11,.58,5.13,807766,307400,6.1,2.6,289658,11.4,22.5,10871,10.4,13.3,7244,120,8.9,11,7030,8.6,2778,3.4,2604,318,16,4829,589,82,9222,136740,166.7,66181,8858,43569,4187,5433,120717,147154,69.7,19.8,497275,410.5,506,13609,65,8342,12363,20140,8.2,787770,6.3,212510,300683,14.4,289658,60.3,51.5,289658,64800,7185,29319,9.8,455965,2.7,16579,3.6,22016,559,443550,3,119398,73417,71351,107264,9469,21348,13245.8,42.3,16209,1508.3,11854.9,34.8,30.5,64.9,8.1,16.4,17.7,10.8,25.8,.2,25.1,26.5,712,56.5,2.5,53.7,74.6,68,-15,95,4,41,343.5,3706,64,90132,69.2,30.8,45.8,13.6,3614,9.6,1743,11.2,122.5,5,2715.1,71.2,138.9,1256.6,17649,4668.9,8862.4,324.2,866547,244328,28.6,39.5,14,422195,68862,1501,6641.5,22335,463.3,6653,4341.5,54.3,5348,4913,4273.2,531,1096,337,522,61465,518.1,5201,2032,71.2,469.6,155.5,54238,770.9,12440,6,1726.7,10.5,3169.5,-24,3841,1509,1367,283,670,848,263.3,77.2,478.7,590,584,836,43,1030,49.1,.8,6,3.2,4.6,522.3,643,28809,354.9,7430,207360,378405,55,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,"Litchfield, CT",1,9005,9,3,,921,162200,286,176.1,156769,5400,3.5,12300,9000,2100,98.63,1.37,97.2,6.6,14.4,12.8,17.3,14.9,9.7,10.1,8.4,5.7,158737,.14,.31,.72,156769,58800,5.5,2.67,55667,8.4,20.6,1934,5.4,12.2,1465,15,9.2,7.8,1425,9,530,3.3,258,161,5,422,263,24,1330,27329,170.5,13268,774,2430,117,2491,22362,29965,70.6,18.6,98414,76.3,481,13381,75,8179,12121,19813,5.2,154574,4,42663,61786,21,55667,72,60.8,55667,60100,1997,7402,12,88497,.9,3538,4,4483,213,50249,6.9,20726,9270,1834,10652,870,17307,2440.5,44.4,15244,274.8,1213,,38.8,,9.9,2.7,21.9,9.7,15,1.2,14.5,15.6,640,34.2,5.9,51.6,81.3,104,-2.1,162,,52,404.6,2551,29,45934,16.3,83.7,43.9,13,470.8,16.5,417,12.7,20,12.4,325.4,14.4,27.8,208.5,14479,879,1570.8,84.1,213003,25697,7.3,26.7,21.8,139017,23363,233,424.2,1574,27.3,1603,655.1,49.9,4131,1032,626.6,212,1086,177,311,8269,71.1,862,160.3,12.9,52,10.2,5016,55.9,2027,23,212.3,-2.9,313.3,10.1,1932,1453,173,98,201,127,36.3,83.9,80.1,505,501,127.6,57.7,804,59.8,.8,3.9,.4,8.9,60.8,384,4586,289.2,369,9887,79416,66.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,70,"Middlesex, CT",1,9007,9,4,3283,373,136700,331,366.5,129017,7700,6,10400,6900,4200,95.29,4.71,96.7,6.2,12.8,15.7,18.6,14,9.7,10.1,7.5,5.3,133615,.14,.4,1.39,129017,50200,9.3,2.56,45922,8.9,21.8,1743,6.4,13,1126,13,8.4,7.5,1194,8.9,529,4,292,216,4,1096,812,30,1820,20722,153.6,10070,972,3020,187,3793,19393,23887,73.1,20.4,80019,63.5,487,13214,82,8036,11909,20345,6.4,124182,4.2,33955,51220,32.7,45922,69.4,60.4,45922,64100,2022,6830,13.3,76760,1.8,2317,3,3482,212,51586,14.4,15981,9736,7151,12366,940,18219,2076.5,47.3,15657,217.7,1209,40.8,36.3,58.4,10.2,10.2,16.9,12.1,9.4,.8,7.9,7.9,289,50.2,2.4,40.8,78.5,23,3.1,80,1,10,249.7,3107,16,54869,54.8,45.2,26,7.6,439.2,8.6,333,9.9,16.9,12.7,321.4,11.6,22.8,193.1,16647,741.5,1457.1,41.2,159929,25206,28.3,16.7,13,103438,12529,172,459.7,1803,32.9,1219,624.6,54.9,4793,826,608.5,499,997,157,463,8861,71.4,665,134.3,8.9,56.7,6.9,4678,52,1731,24.1,102.7,2.7,265.1,.5,1940,1347,324,93,168,116.3,36.3,70.5,66.9,513,510,123.3,86,946,51.5,.9,4.2,1.5,9.8,78,599,4162,319.4,279,7950,66722,59.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,90,"New Haven, CT",1,9009,9,4,5483,610,778900,45,1276.9,761325,17600,2.3,64200,45500,-1200,89.46,10.54,91.7,6.6,13.1,16.1,17,13.1,9.4,10.7,8.3,5.6,769851,.15,.55,3.59,761337,287400,5.9,2.61,271542,11.6,22.8,10479,9.9,13.6,7470,114,9.7,10.9,6267,8.1,3083,4,2736,353,16,4319,557,103,8503,133285,171.8,63961,7764,39835,3491,5434,106990,131483,67.8,17.9,468143,329.7,432,12426,122,7609,11277,18424,9.4,740129,7.4,200129,287184,18.3,271542,61.1,50.3,271542,61500,7325,27648,9.6,406112,1.4,16835,4.1,19838,497,305770,3.7,82903,58324,17720,89775,5721,18711,11295.7,43.1,14677,1454.1,7470.6,,28.6,,9.1,5.4,23.1,11.4,18.8,.3,15.4,14.9,440,64.1,1.1,54.5,74.1,30,-12.2,68,1,18,260.3,3385,27,60527,66.8,33.2,44.5,14.3,2135,15.5,1732,9.8,83.2,-7.1,1554,53.9,103.6,809.2,15013,3121,5939.7,198.4,661337,155664,26.5,45.2,16.8,370830,57666,1343,6028.6,17520,335.9,6562,3685.8,48.5,4829,4679,3588.3,547,1100,295,448,50747,420.3,4678,1222,40.3,378.8,95.7,37875,475.1,9051,16,1867.3,-1,1980.3,5.3,2542,1561,225,228,517,724.1,220.8,75.5,414.7,543,536,711.7,40.8,933,46.3,2.2,5.9,2.3,4.2,741.5,972,25725,337.1,5507,156354,354712,59.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,110,"New London, CT",1,9011,9,4,5523,669,246400,195,368.3,238409,8000,3.4,23100,12300,-2800,93.96,6.04,104.2,7,13.1,19.1,17.8,13,9.5,9.6,6.6,4.4,245741,.34,.9,1.96,238409,89100,8.9,2.62,81814,9.4,20.6,3756,8.9,15.3,1994,33,8.1,8.8,2495,10.2,1110,4.5,410,167,5,1311,532,31,2068,34748,141.1,16110,1942,6903,383,4368,34677,45090,71,16.9,137520,111.7,465,12187,146,7307,10829,18125,8.2,227732,6.4,61778,90271,22.9,81814,63.3,55.3,81814,55000,1851,7521,8.3,126161,-.7,5104,4,5347,198,87086,4.4,34758,18892,2719,20804,1684,19337,3560.5,50.8,14554,409.6,2844,47.2,36.2,51.8,7.7,1.8,13.5,21.8,26.2,.9,16.2,16.9,573,34,4.5,56.4,81.2,83,2.9,144,,35,263.3,1712,68,119188,22.4,77.6,42.4,16.6,1028.2,6,264,14.4,35.1,-10.5,760.2,20.7,42.4,378.6,18290,1439.2,2366.1,69.3,198734,29139,26.7,11.6,31,115958,26462,213,500,2482,40.2,2107,1156.9,57.4,4812,1499,1131.2,344,1013,192,448,15007,132.7,1131,304.4,23.8,85.9,18.8,10802,125.6,1990,2.8,286.6,6.2,3071.9,35.4,12467,1431,9171,1567,291,200.8,66.7,78.1,109.9,457,452,206.5,36.3,859,54.1,1.3,4.9,2.3,6.2,132,549,7644,318,4698,116738,102487,61.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,130,"Tolland, CT",1,9013,9,4,3283,412,121500,370,294.9,114823,6700,5.9,9700,4300,1400,97.49,2.51,97.6,6.8,13.1,21.9,19.3,14,9.4,7.3,5.1,3.1,117625,.11,.61,.86,114823,39900,9.9,2.72,36269,7.2,17.7,1528,6.3,13,705,9,6,5.9,840,7.1,683,5.8,125,105,4,300,252,8,419,11801,99,5677,434,1916,86,4598,17452,22427,76.8,24.4,63153,50.8,436,12316,135,7506,11124,21305,6,103719,4.1,27851,38039,27.9,36269,70.4,65.5,36269,62900,1592,6021,15.8,66664,3.3,1682,2.5,2045,85,19027,7.5,3622,6578,717,4829,268,14082,1704,52,14276,148.5,528.9,20.7,12.4,77.5,12.3,2.4,15.1,40.9,9.6,1.8,9.1,10.2,308,43.8,5.5,45.1,84.4,45,5.1,146,1,24,318.6,1998,23,74153,13.9,86.1,34.1,15.9,65.5,22.5,136,6.6,3.2,-23.8,46.4,2.5,4.8,30.2,12080,126.5,229,8.1,124690,13230,21.7,25.6,22.5,96665,7902,95,133.1,488,8.6,766,390.4,41.9,3354,486,381.7,296,1006,185,264,5613,42.4,406,69.5,2.5,22.5,4.1,2357,23.6,816,17,78.9,-4.3,238.2,54.2,1960,906,196,103,746,81.6,27.5,88.9,46.4,398,394,77.8,34.1,669,65.2,.8,3.5,1,7.1,49.3,423,3390,291.2,181,5098,53298,61.9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,150,"Windham, CT",1,9015,9,3,,515,96800,455,188,92312,4500,4.9,8400,5200,1300,98.54,1.46,94.6,7.7,15,16.3,16.4,13.7,9.2,9.2,7.4,5.3,94393,.28,.24,2.26,92312,34900,8.5,2.66,32209,10,21.6,1368,11.6,14.5,836,14,8.9,10.2,834,8.8,387,4.1,124,130,2,323,338,16,886,16132,168.6,7297,1046,1687,82,4222,15511,18162,59.4,13.1,53526,40.5,432,10348,460,6418,9511,16185,9.5,89712,7.2,24021,34636,22,32209,64.1,54.1,32209,46400,968,3352,9.7,51176,1,2648,5.2,1893,48,26281,-.6,11675,5090,883,5810,442,16831,1175.8,44.7,12431,168.6,649.3,,43.3,,9.5,2.2,18,11.8,23.9,3.7,17.6,19.8,517,38.9,5,56.9,84.9,74,3.9,143,,36,218.8,1610,49,95126,7,93,50.1,24.4,281.2,9.7,176,16.5,10.9,-12.1,183.5,8.2,15.2,122.2,14902,366.6,740.5,27.1,82738,12524,34.3,6,22.6,53873,8494,88,142.3,656,10.3,772,347.1,36.1,3708,505,336.4,158,957,112,317,4672,37.5,357,72.8,2.4,30.4,3.5,2316,24.6,667,3.1,121.4,.7,200,6.8,2066,1415,253,119,271,66.6,27,84.9,32.7,350,347,65.3,61.3,698,62,.9,2.9,1.8,6.1,37.8,404,3034,324.1,218,5432,40455,61.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,"CONNECTICUT",2,9000,9,1,,4872,3189000,,654.6,3108000,81000,2.6,259000,171000,-6000,91.14,8.86,93.6,6.6,13.4,16,16.9,13.9,10.2,10.3,7.6,5.1,3154252,.15,.61,4.01,3107576,1163000,6.3,2.64,1093678,10.8,21.6,42220,9.4,13.4,27851,438,8.8,10.4,27236,8.6,11763,3.7,8685,274,65,16210,511,350,29709,500428,157.7,242406,28242,149330,12758,5423,445646,565152,70.3,20.7,1900164,1493,477,14090,,8511,12613,20077,8,3022777,6.2,818187,1158884,18.1,1093678,63.9,54.4,1093678,67400,27730,115410,10,1740000,1.7,66000,3.8,84432,2672,1377989,4,420612,247569,129096,347679,28953,21011,52193.7,45,16547,5534.6,36761.2,38.7,33.2,61,8.7,8.9,19.9,11.2,139.3,.4,115.5,121,3754,46.8,3.8,52.1,79.5,444,-2.5,118,7,225,316.3,2655,285,76005,35.8,64.2,42.4,14.8,12214.1,10.1,6693,11.5,424.4,3,9059.6,245,478.8,4095,16714,16373.4,30066.5,1054.2,3234817,753441,38.5,26.3,16.6,1677307,347849,5329,32707.2,69414,1432.7,26750,15828.6,51.8,5062,19094,15472.6,497,1094,296,457,210520,1831,19638,6408.2,218.8,1505.6,458.3,170918,2392.3,43657,15.1,5390.6,4.7,13534.3,.2,4244,1456,1834,314,529,3045.8,878.1,77.1,1812.2,580,573,3028.3,45,968,49.3,1.6,5.7,2.5,5.1,2164.8,692,104885,335.4,22656,627298,1466900,60.7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,"Androscoggin, ME",1,23001,23,4,4243,477,101100,440,211.9,99509,1600,1.6,9300,6100,-1600,99.32,.68,91.5,7.2,15.5,16.5,16.2,12.4,9.4,9.6,7.3,5.9,100782,.12,.23,.53,99657,37200,5.6,2.61,35233,10.3,22.7,1538,14.1,15.3,978,15,9.7,9.8,1019,10.1,611,6.1,175,174,3,548,545,34,1416,18505,183.9,7565,2224,5243,281,5209,17151,19857,58.5,10.5,57695,32.6,327,8718,1312,5631,8345,13524,12.6,96323,9.7,26022,38382,20,35233,61.6,40.4,35233,37500,857,,,46826,.4,3213,6.9,2484,96,34828,-.8,11581,6821,2054,8939,494,14185,1074.7,39.7,10747,182.4,676.7,,31.5,,11.5,5,22.2,9.4,18.9,2.8,15.6,15.9,355,26.8,10.4,54.9,85.9,74,3.6,209,,34,223,972,80,225225,8.5,91.5,43.7,19.4,213,7.7,186,18.3,12.6,-2.3,161.6,9.8,18.5,105.3,10745,388.2,739.8,25.2,60894,9203,10.9,30.3,32,35484,6175,165,278.8,1947,29.2,956,457.6,37.9,4590,662,444.5,508,1184,197,313,6305,47.9,519,107.8,8,38.5,9.9,3735,39.9,594,6.7,169.7,3.7,215,6.1,2126,1580,30,125,383,68.7,30.3,67.4,30.5,305,303,68.1,46.5,683,47.9,.2,5.1,.8,9.7,59.1,593,3236,324.6,313,7869,47000,57.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
