state,county,year,name,faval,fips,region1,region2,level
1,0,"850","CONNECTICUT",31,9000,1,1,2
1,0,"860","CONNECTICUT",36,9000,1,1,2
1,0,"870","CONNECTICUT",42,9000,1,1,2
1,0,"880","CONNECTICUT",49,9000,1,1,2
1,0,"890","CONNECTICUT",42,9000,1,1,2
1,0,"900","CONNECTICUT",42,9000,1,1,2
1,0,"910","CONNECTICUT",63,9000,1,1,2
1,0,"920","CONNECTICUT",100,9000,1,1,2
1,0,"925","CONNECTICUT",110,9000,1,1,2
1,0,"930","CONNECTICUT",151,9000,1,1,2
1,0,"935","CONNECTICUT",136,9000,1,1,2
1,0,"940","CONNECTICUT",135,9000,1,1,2
1,0,"945","CONNECTICUT",165,9000,1,1,2
1,0,"950","CONNECTICUT",248,9000,1,1,2
1,0,"954","CONNECTICUT",289,9000,1,1,2
1,0,"959","CONNECTICUT",430,9000,1,1,2
1,10,"850","FAIRFIELD",49,9001,1,1,1
1,10,"860","FAIRFIELD",53,9001,1,1,1
1,10,"870","FAIRFIELD",91,9001,1,1,1
1,10,"880","FAIRFIELD",85,9001,1,1,1
1,10,"890","FAIRFIELD",83,9001,1,1,1
1,10,"900","FAIRFIELD",82,9001,1,1,1
1,10,"910","FAIRFIELD",148,9001,1,1,1
1,10,"920","FAIRFIELD",226,9001,1,1,1
1,10,"925","FAIRFIELD",232,9001,1,1,1
1,10,"930","FAIRFIELD",473,9001,1,1,1
1,10,"935","FAIRFIELD",396,9001,1,1,1
1,10,"940","FAIRFIELD",448,9001,1,1,1
1,10,"945","FAIRFIELD",576,9001,1,1,1
1,10,"950","FAIRFIELD",720,9001,1,1,1
1,10,"954","FAIRFIELD",670,9001,1,1,1
1,10,"959","FAIRFIELD",1035,9001,1,1,1
1,30,"850","HARTFORD",37,9003,1,1,1
1,30,"860","HARTFORD",52,9003,1,1,1
1,30,"870","HARTFORD",76,9003,1,1,1
1,30,"880","HARTFORD",71,9003,1,1,1
1,30,"890","HARTFORD",57,9003,1,1,1
1,30,"900","HARTFORD",63,9003,1,1,1
1,30,"910","HARTFORD",94,9003,1,1,1
1,30,"920","HARTFORD",179,9003,1,1,1
1,30,"925","HARTFORD",194,9003,1,1,1
1,30,"930","HARTFORD",220,9003,1,1,1
1,30,"935","HARTFORD",179,9003,1,1,1
1,30,"940","HARTFORD",177,9003,1,1,1
1,30,"945","HARTFORD",219,9003,1,1,1
1,30,"950","HARTFORD",392,9003,1,1,1
1,30,"954","HARTFORD",461,9003,1,1,1
1,30,"959","HARTFORD",803,9003,1,1,1
1,50,"850","LITCHFIELD",27,9005,1,1,1
1,50,"860","LITCHFIELD",31,9005,1,1,1
1,50,"870","LITCHFIELD",43,9005,1,1,1
1,50,"880","LITCHFIELD",37,9005,1,1,1
1,50,"890","LITCHFIELD",30,9005,1,1,1
1,50,"900","LITCHFIELD",28,9005,1,1,1
